# Kona Param. Contn. convergence history (opt tol = 8.799407e-07 | feas tol = 1.424389e-05)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      5.102e+01      5.102e+01     8.7994e+00     0.0000e+00     1.4244e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.1399e+00     0.0000e+00     1.0138e+01     

      1         0         8     -7.135e-01      1.420e+04     8.6511e+01     9.9807e+02     1.4224e+02      8.462e+03     7.0196e+02     6.9797e+01     2.992976e-01          1.4748e+01     7.1034e+01     1.0127e+01     
      1         1        15      1.540e+02      1.299e+03     2.6711e+01     2.3432e+02     2.2127e+01      1.924e+03     1.4479e+02     1.6682e-02     2.992976e-01          4.4096e+00     1.8795e+01     2.4140e+00     

      2         0        31     -3.875e+01     -6.761e+00     9.9057e+00     4.2998e+01     2.7754e+00      8.690e+02     2.3802e+01     3.4166e+00     1.322210e-01          1.7081e+00     3.7317e+00     5.0359e-01     
      2         1        42     -1.281e+02     -8.070e+01     6.9405e+00     2.0822e+01     2.6871e+00      9.100e+02     3.2156e+00     3.2099e-04     1.322210e-01          1.1761e+00     1.6855e+00     4.7950e-01     

      3         0        60     -1.667e+02     -1.466e+02     5.1488e+00     1.2444e+01     1.3763e+00      6.189e+02     3.7014e-01     1.4640e-01     9.337318e-02          8.3291e-01     1.0002e+00     3.1839e-01     
      3         1        69     -1.731e+02     -1.518e+02     5.0508e+00     1.2205e+01     1.4822e+00      6.208e+02     3.6688e-03     7.6920e-05     9.337318e-02          8.2276e-01     9.9742e-01     3.2530e-01     

      4         0        78     -2.332e+02     -2.340e+02     2.3792e+00     4.0970e+00     3.7928e-01     -3.704e+00     1.5257e+00     4.8600e-01     2.392581e-02          3.1545e-01     3.5161e-01     7.0504e-02     
      4         1        91     -2.572e+02     -2.547e+02     1.6212e+00     3.1343e+00     2.4804e-01     -6.369e+00     6.0348e-02     6.3983e-05     2.392581e-02          2.3541e-01     2.5067e-01     9.8846e-02     

