# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.01        0.01        50.5414       0.0000      0     0
    1        0.04        0.05        -10.8611       7.2884      0     0
    2        0.03        0.08        -50.0673       3.7638      0     0
    3        0.03        0.11        -103.441       2.1995      0     0
    4        0.03        0.14        -150.457       1.4047      0     0
    5        0.04        0.18        -218.592       0.6513      0     0
    6        0.04        0.22        -279.42       0.1298      0     0
    7        0.07        0.29        -283.919       0.0234      0     0
    8        0.04        0.33        -283.905       0.0130      0     0
    0        0.03        0.36        -283.03       0.0007      0     1
    1        0.03        0.39        -283.03       0.0000      0     1
    2        0.04        0.43        -283.03       0.0000      0     0
    9        0.00        0.43        -283.03       0.0000      0     0
