# Kona Param. Contn. convergence history (opt tol = 1.392962e-06 | feas tol = 2.245265e-05)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0         0         1      1.295e+02      1.295e+02     1.3930e+01     2.2453e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000     

      1         0         8      1.294e+02      1.546e+02     1.3976e+01     2.2453e+02      7.103e-02     5.6336e-04     5.6085e-05     9.995000e-01          
      1         1        15      1.294e+02      1.546e+02     1.3976e+01     2.2453e+02      7.103e-02     5.9072e-09     6.8179e-12     9.995000e-01          

      2         0        22      1.286e+02      3.733e+02     1.7716e+01     2.2451e+02      1.221e+00     4.2720e-02     4.2032e-03     9.951502e-01          
      2         1        29      1.285e+02      3.741e+02     1.7740e+01     2.2447e+02      1.223e+00     3.1097e-06     4.6579e-08     9.951502e-01          

      3         0        36      1.277e+02      5.915e+02     2.4983e+01     2.2437e+02      3.311e+00     4.2295e-02     3.7391e-03     9.908553e-01          
      3         1        43      1.277e+02      5.921e+02     2.5007e+01     2.2432e+02      3.318e+00     4.4436e-06     1.4349e-07     9.908553e-01          

      4         0        50      1.268e+02      8.110e+02     3.3616e+01     2.2412e+02      6.400e+00     4.3020e-02     3.3905e-03     9.865482e-01          
      4         1        57      1.268e+02      8.115e+02     3.3636e+01     2.2408e+02      6.415e+00     7.0741e-06     2.7173e-07     9.865482e-01          

      5         0        64      1.260e+02      1.035e+03     4.2969e+01     2.2378e+02      1.063e+01     4.5030e-02     3.1232e-03     9.821593e-01          
      5         1        71      1.260e+02      1.035e+03     4.2982e+01     2.2373e+02      1.066e+01     1.3875e-05     4.1796e-07     9.821593e-01          

      6         0        78      1.251e+02      1.266e+03     5.2903e+01     2.2333e+02      1.624e+01     4.8434e-02     2.9001e-03     9.776190e-01          
      6         1        85      1.250e+02      1.266e+03     5.2909e+01     2.2327e+02      1.629e+01     2.7492e-05     5.7320e-07     9.776190e-01          

      7         0        92      1.241e+02      1.508e+03     6.3447e+01     2.2273e+02      2.359e+01     5.3489e-02     2.6878e-03     9.728519e-01          
      7         1        99      1.241e+02      1.508e+03     6.3443e+01     2.2268e+02      2.368e+01     5.3027e-05     9.1501e-07     9.728519e-01          

      8         0       106      1.230e+02      1.763e+03     7.4699e+01     2.2198e+02      3.325e+01     6.0627e-02     2.4510e-03     9.677721e-01          
      8         1       113      1.230e+02      1.763e+03     7.4681e+01     2.2191e+02      3.338e+01     1.0110e-04     3.1825e-06     9.677721e-01          

      9         0       120      1.219e+02      2.036e+03     8.6801e+01     2.2101e+02      4.605e+01     7.0526e-02     2.1558e-03     9.622763e-01          
      9         1       127      1.219e+02      2.035e+03     8.6764e+01     2.2093e+02      4.626e+01     1.9254e-04     1.5403e-05     9.622763e-01          

     10         0       134      1.207e+02      2.331e+03     9.9930e+01     2.1977e+02      6.327e+01     8.4215e-02     1.8240e-03     9.562360e-01          
     10         1       141      1.206e+02      2.329e+03     9.9865e+01     2.1968e+02      6.360e+01     3.7095e-04     3.8037e-05     9.562360e-01          

     11         0       148      1.192e+02      2.652e+03     1.1430e+02     2.1818e+02      8.692e+01     1.0327e-01     1.8216e-03     9.494849e-01          
     11         1       155      1.192e+02      2.649e+03     1.1419e+02     2.1807e+02      8.744e+01     7.3385e-04     6.6342e-05     9.494849e-01          

     12         0       162      1.176e+02      3.004e+03     1.3014e+02     2.1611e+02      1.203e+02     1.3010e-01     3.2141e-03     9.418003e-01          
     12         1       171      1.175e+02      3.000e+03     1.2996e+02     2.1597e+02      1.211e+02     4.7956e-06     5.2544e-06     9.418003e-01          

     13         0       178      1.157e+02      3.393e+03     1.4772e+02     2.1338e+02      1.687e+02     1.6845e-01     6.6968e-03     9.328732e-01          
     13         1       187      1.155e+02      3.386e+03     1.4744e+02     2.1320e+02      1.700e+02     1.0373e-05     2.3317e-05     9.328732e-01          

     14         0       194      1.135e+02      3.824e+03     1.6729e+02     2.0972e+02      2.415e+02     2.2419e-01     1.3810e-02     9.222590e-01          
     14         1       203      1.132e+02      3.812e+03     1.6682e+02     2.0949e+02      2.438e+02     2.8371e-05     7.2967e-05     9.222590e-01          

     15         0       212      1.103e+02      4.294e+03     1.8889e+02     2.0471e+02      3.550e+02     3.0089e-01     3.1431e-02     9.093441e-01          
     15         1       221      1.103e+02      4.277e+03     1.8814e+02     2.0443e+02      3.588e+02     6.2428e-05     1.0145e-04     9.093441e-01          

     16         0       230      1.066e+02      4.802e+03     2.1253e+02     1.9770e+02      5.410e+02     4.1807e-01     6.3023e-02     8.929971e-01          
     16         1       239      1.065e+02      4.773e+03     2.1127e+02     1.9734e+02      5.472e+02     1.8341e-04     3.5775e-04     8.929971e-01          

     17         0       248      1.017e+02      5.315e+03     2.3709e+02     1.8763e+02      8.583e+02     5.7346e-01     1.3159e-01     8.715705e-01          
     17         1       257      1.015e+02      5.267e+03     2.3499e+02     1.8722e+02      8.672e+02     6.3756e-04     1.2067e-03     8.715705e-01          

     18         0       266      9.497e+01      5.753e+03     2.5958e+02     1.7289e+02      1.419e+03     7.3938e-01     2.9104e-01     8.421610e-01          
     18         1       275      9.461e+01      5.675e+03     2.5622e+02     1.7255e+02      1.426e+03     2.5966e-03     4.1859e-03     8.421610e-01          

