# Kona Param. Contn. convergence history (opt tol = 1.392962e-06 | feas tol = 2.245265e-05)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0         0         1      1.295e+02      1.295e+02     1.3930e+01     2.2453e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000     

      1         0         8      2.922e+01      2.691e+04     1.2021e+03     2.2443e+02      1.102e+04     6.4121e+02     6.3834e+01     4.665729e-01          
      1         1        19      1.310e+02      4.609e+03     3.3875e+02     6.0670e+01      5.226e+03     1.2494e+02     3.1023e+00     4.665729e-01          

      2         0        61     -5.953e+00      8.287e+02     1.0710e+02     1.8053e+01      5.351e+03     1.3627e+01     4.3354e+00     3.349332e-01          
      2         1        90     -6.409e+01      7.724e+02     8.9304e+01     2.0521e+01      5.442e+03     4.9434e-01     7.5268e-02     3.349332e-01          

      3         0       117     -1.433e+02      9.870e+01     5.1411e+01     7.1764e+00      3.815e+03     2.1215e+00     2.5946e+00     2.170907e-01          
      3         1       160     -1.902e+02      1.212e+02     5.2003e+01     9.2867e+00      3.803e+03     1.0981e-01     4.0101e-02     2.170907e-01          

      4         0       197     -2.848e+02     -1.683e+02     3.3185e+01     4.0963e+00      2.555e+03     9.1851e-01     8.3645e-01     1.452477e-01          
      4         1       240     -3.159e+02     -1.825e+02     3.3207e+01     4.7590e+00      2.562e+03     8.3612e-02     6.2316e-02     1.452477e-01          

      5         0       283     -4.338e+02     -3.988e+02     1.9347e+01     1.5655e+00      1.347e+03     1.0871e+00     6.7553e-01     8.359592e-02          
      5         1       326     -4.702e+02     -4.262e+02     1.8750e+01     1.9981e+00      1.355e+03     1.9361e-01     1.5391e-01     8.359592e-02          

      6         0       412     -5.960e+02     -5.967e+02     8.5369e+00     4.8117e-01      1.450e+02     1.8029e+00     7.4202e-01     3.063299e-02          
      6         1       455     -6.396e+02     -6.336e+02     7.1305e+00     4.5774e-01      1.444e+02     4.2384e-01     2.7519e-01     3.063299e-02          

      7         0       541     -7.044e+02     -7.084e+02     2.3156e+00     5.4012e-01     -5.970e+02     1.4317e+00     5.6861e-01     3.875225e-03          
      7         1       584     -7.190e+02     -7.223e+02     1.2484e+00     4.6155e-01     -6.055e+02     4.6520e-01     4.8976e-01     3.875225e-03          

      8         0       670     -7.267e+02     -7.287e+02     5.1252e-01     4.5699e-01     -7.287e+02     5.1252e-01     4.5699e-01     0.000000e+00          
      8         1       713     -7.291e+02     -7.324e+02     2.8575e-01     4.5052e-01     -7.324e+02     2.8575e-01     4.5052e-01     0.000000e+00          
      8         2       756     -7.292e+02     -7.306e+02     2.9088e-01     3.9489e-01     -7.306e+02     2.9088e-01     3.9489e-01     0.000000e+00          
      8         3       799     -7.296e+02     -7.298e+02     2.4738e-01     3.6119e-01     -7.298e+02     2.4738e-01     3.6119e-01     0.000000e+00          
      8         4       842     -7.294e+02     -7.291e+02     2.5415e-01     3.3163e-01     -7.291e+02     2.5415e-01     3.3163e-01     0.000000e+00          
      8         5       885     -7.302e+02     -7.296e+02     1.8808e-01     3.2553e-01     -7.296e+02     1.8808e-01     3.2553e-01     0.000000e+00          
      8         6       928     -7.301e+02     -7.289e+02     1.9579e-01     2.8919e-01     -7.289e+02     1.9579e-01     2.8919e-01     0.000000e+00          
      8         7       971     -7.303e+02     -7.289e+02     1.5677e-01     2.7187e-01     -7.289e+02     1.5677e-01     2.7187e-01     0.000000e+00          
      8         8      1014     -7.305e+02     -7.291e+02     1.2848e-01     2.6818e-01     -7.291e+02     1.2848e-01     2.6818e-01     0.000000e+00          
      8         9      1057     -7.305e+02     -7.288e+02     1.1889e-01     2.5634e-01     -7.288e+02     1.1889e-01     2.5634e-01     0.000000e+00          
