# SNOPT iteration timing history
# Iter    Time (s)    Total Time (s)    Objective  
    1        0.97        0.97        215.285     
    2        1.11        2.08        186.745     
    3        0.94        3.02        160.759     
    4        1.06        4.08        186.031     
    5        1.14        5.22        714.094     
    6        0.60        5.82        62.2908     
    7        1.31        7.13        171.769     
    8        0.70        7.82        15.5396     
    9        1.14        8.96        3.44397     
   10        1.20        10.16        -4.72297     
   11        1.18        11.34        -4.59149     
   12        0.71        12.05        -5.56879     
   13        1.08        13.13        -5.62295     
   14        1.20        14.33        -5.63857     
   15        1.19        15.52        -5.64069     
   16        1.17        16.69        -5.64074     
   17        1.20        17.89        -5.64074     
   18        1.21        19.10        -5.64074     
