# Kona Param. Contn. convergence history (opt tol = 2.630149e-06 | feas tol = 2.329004e-05)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0         0         1      2.153e+02      2.153e+02     2.6301e+01     2.3290e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000     

      1         0         8      6.438e+00      3.485e+04     1.9541e+03     2.3383e+02      1.836e+04     1.2507e+03     9.5999e+01     3.600217e-01          
      1         1        21      5.233e+02      1.731e+03     3.0763e+02     2.6069e+01      1.686e+03     1.7523e+02     1.5959e-03     3.600217e-01          

      2         0        61      2.920e+02      4.726e+02     6.6800e+01     8.3270e+00      1.651e+03     2.3737e+01     4.5518e-01     2.903226e-01          
      2         1        76      1.957e+02      3.222e+02     4.4910e+01     7.1941e+00      1.787e+03     1.9778e+00     1.2228e-06     2.903226e-01          

      3         0        97      1.837e+02      2.829e+02     3.9658e+01     5.8499e+00      1.666e+03     4.7728e+00     1.1381e-01     2.591757e-01          
      3         1       110      1.756e+02      2.709e+02     3.7891e+01     5.7750e+00      1.684e+03     4.8038e-02     1.3244e-06     2.591757e-01          

      4         0       127      1.331e+02      1.633e+02     2.2800e+01     2.1264e+00      1.195e+03     4.2031e+00     6.7494e-01     1.575401e-01          
      4         1       144      1.196e+02      1.591e+02     2.2127e+01     2.7155e+00      1.221e+03     1.1426e-01     2.1645e-06     1.575401e-01          

      5         0       161      5.852e+01      6.432e+01     9.9182e+00     7.1453e-01      5.334e+02     3.0945e+00     6.1346e-01     5.340147e-02          
      5         1       184      3.220e+01      4.696e+01     8.1923e+00     9.1270e-01      5.817e+02     4.0679e-01     1.0832e-04     5.340147e-02          

      6         0       224      1.391e+00      1.244e+01     4.4770e+00     5.8024e-01      2.950e+02     9.2842e-01     1.4916e-01     2.320629e-02          
      6         1       259     -3.044e+00      1.067e+01     3.8859e+00     5.7087e-01      3.065e+02     1.8387e-01     5.8321e-07     2.320629e-02          

      7         0       303     -1.456e+01     -1.077e+00     2.3184e+00     4.4553e-01      1.704e+02     3.1453e-01     8.1631e-02     1.201231e-02          
      7         1       346     -1.434e+01     -6.075e-01     2.1144e+00     4.0864e-01      1.730e+02     3.1264e-02     1.4590e-05     1.201231e-02          

      8         0       379     -1.750e+01     -5.126e+00     1.1356e+00     2.9137e-01      7.887e+01     1.8879e-01     6.3718e-02     5.380131e-03          
      8         1       422     -1.582e+01     -4.543e+00     9.8918e-01     2.4733e-01      7.964e+01     1.2952e-02     1.8774e-02     5.380131e-03          

      9         0       494     -1.428e+01     -5.379e+00     6.0293e-01     1.7242e-01      4.385e+01     4.9809e-02     1.4758e-02     3.062252e-03          
      9         1       537     -1.365e+01     -5.233e+00     5.7147e-01     1.6109e-01      4.393e+01     2.0434e-02     1.0242e-02     3.062252e-03          

     10         0       623     -1.077e+01     -5.550e+00     2.8640e-01     9.0349e-02      1.731e+01     3.1710e-02     9.9345e-03     1.401405e-03          
     10         1       666     -1.029e+01     -5.492e+00     2.6608e-01     8.2385e-02      1.736e+01     1.3654e-02     3.3403e-03     1.401405e-03          

     11         0       752     -7.742e+00     -5.593e+00     1.0525e-01     3.4773e-02      2.706e+00     1.1731e-02     3.9727e-03     5.058360e-04          
     11         1       795     -7.542e+00     -5.588e+00     9.6760e-02     3.1476e-02      2.710e+00     4.9316e-03     3.3795e-04     5.058360e-04          

     12         0       881     -6.577e+00     -5.617e+00     4.6355e-02     1.5216e-02     -1.751e+00     4.0535e-03     1.3672e-03     2.353648e-04          
     12         1       924     -6.578e+00     -5.616e+00     4.5027e-02     1.5210e-02     -1.751e+00     3.3600e-03     9.5267e-04     2.353648e-04          

     13         0      1010     -6.079e+00     -5.622e+00     2.3099e-02     7.2067e-03     -3.711e+00     3.2899e-03     8.9381e-04     1.163271e-04          
     13         1      1053     -6.129e+00     -5.625e+00     2.2497e-02     7.9532e-03     -3.714e+00     2.4801e-03     1.1009e-03     1.163271e-04          

     14         0      1139     -5.609e+00     -5.629e+00     4.0867e-03     3.3319e-03     -5.629e+00     4.0867e-03     3.3319e-03     1.355253e-20          
     14         1      1182     -5.632e+00     -5.629e+00     4.0286e-03     1.7210e-03     -5.629e+00     4.0286e-03     1.7210e-03     1.355253e-20          
     14         2      1225     -5.632e+00     -5.629e+00     3.8626e-03     9.9993e-04     -5.629e+00     3.8626e-03     9.9993e-04     1.355253e-20          
     14         3      1268     -5.639e+00     -5.629e+00     3.8172e-03     4.3768e-04     -5.629e+00     3.8172e-03     4.3768e-04     1.355253e-20          
     14         4      1311     -5.628e+00     -5.629e+00     3.7382e-03     4.5034e-04     -5.629e+00     3.7382e-03     4.5034e-04     1.355253e-20          
     14         5      1354     -5.632e+00     -5.629e+00     3.7109e-03     2.2422e-04     -5.629e+00     3.7109e-03     2.2422e-04     1.355253e-20          
     14         6      1397     -5.610e+00     -5.630e+00     3.5366e-03     6.9878e-04     -5.630e+00     3.5366e-03     6.9878e-04     1.355253e-20          
     14         7      1440     -5.633e+00     -5.630e+00     3.5218e-03     1.0277e-04     -5.630e+00     3.5218e-03     1.0277e-04     1.355253e-20          
     14         8      1483     -5.613e+00     -5.631e+00     3.2269e-03     8.7037e-04     -5.631e+00     3.2269e-03     8.7037e-04     1.355253e-20          
     14         9      1526     -5.633e+00     -5.631e+00     3.1970e-03     1.9843e-04     -5.631e+00     3.1970e-03     1.9843e-04     1.355253e-20          
