# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.01        0.01        215.285       0.0000      0     0
    1        0.64        0.65        300.286       7.0472      0     0
    2        0.42        1.07        195.734       3.7483      0     0
    3        0.43        1.50        175.615       3.1867      0     0
    4        0.38        1.88        119.631       1.8031      0     0
    5        0.69        2.57        31.0448       0.5741      0     0
    6        0.78        3.35        -3.53942       0.2430      0     0
    7        0.59        3.94        -14.3423       0.1486      0     0
    8        1.11        5.05        -15.8912       0.0606      0     0
    9        1.05        6.10        -13.2594       0.0319      0     0
   10        1.18        7.28        -9.56672       0.0130      0     0
   11        1.82        9.10        -6.77553       0.0031      0     0
   12        1.59        10.70        -5.94936       0.0008      0     0
   13        1.84        12.54        -5.7097       0.0002      0     0
   14        1.87        14.41        -5.63889       0.0001      0     0
   15        1.77        16.18        -5.64063       0.0001      0     0
    0        0.64        16.81        -5.64064       0.0001      0     0
    1        0.64        17.45        -5.64077       0.0001      0     0
    2        0.65        18.10        -5.64088       0.0001      0     0
    3        0.64        18.74        -5.64059       0.0001      0     0
    4        0.63        19.37        -5.64008       0.0001      0     0
    5        0.63        20.00        -5.64066       0.0001      0     0
    6        0.63        20.63        -5.64       0.0001      0     0
    7        0.63        21.26        -5.64044       0.0001      0     0
    8        0.84        22.10        -5.64006       0.0001      0     0
    9        0.81        22.91        -5.64036       0.0001      0     0
   16        0.01        22.92        -5.64036       0.0001      0     0
