# SNOPT iteration timing history
# Iter    Time (s)    Total Time (s)    Objective  
    1        1.02        1.02        215.285     
    2        1.08        2.09        186.745     
    3        0.96        3.06        160.759     
    4        0.94        4.00        186.031     
    5        1.41        5.41        714.094     
    6        0.59        6.00        62.2908     
    7        1.26        7.26        171.769     
    8        0.68        7.94        15.5396     
    9        1.43        9.37        3.44397     
   10        1.50        10.87        -4.72297     
   11        1.44        12.31        -4.59149     
   12        0.85        13.16        -5.56879     
   13        1.25        14.41        -5.62295     
   14        1.35        15.75        -5.63857     
   15        1.34        17.09        -5.64069     
   16        1.47        18.57        -5.64074     
   17        1.39        19.96        -5.64074     
   18        1.21        21.17        -5.64074     
