# SNOPT iteration timing history
# Iter    Time (s)    Total Time (s)    Objective  
    1        1.06        1.06        215.285     
    2        1.11        2.17        186.745     
    3        1.02        3.19        160.759     
    4        1.02        4.21        186.031     
    5        1.41        5.62        714.094     
    6        0.67        6.29        62.2908     
    7        1.38        7.67        171.769     
    8        0.60        8.26        15.5396     
    9        1.25        9.52        3.44397     
   10        1.22        10.73        -4.72297     
   11        1.33        12.06        -4.59149     
   12        0.80        12.86        -5.56879     
   13        1.18        14.04        -5.62295     
   14        1.26        15.31        -5.63857     
   15        1.17        16.48        -5.64069     
   16        1.13        17.60        -5.64074     
   17        1.08        18.69        -5.64074     
   18        1.07        19.76        -5.64074     
