# Kona Param. Contn. convergence history (opt tol = 2.630149e-06 | feas tol = 2.329004e-05)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0         0         1      2.153e+02      2.153e+02     2.6301e+01     2.3290e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000     

      1         0         8      6.438e+00      3.485e+04     1.9541e+03     2.3383e+02      1.836e+04     1.2507e+03     9.5999e+01     3.600217e-01          
      1         1        51      5.125e+02      1.710e+03     3.1138e+02     2.5558e+01      1.680e+03     1.7742e+02     1.6026e+00     3.600217e-01          

      2         0       137      2.927e+02      4.126e+02     9.8599e+01     2.1426e+01      2.382e+03     4.1752e+01     1.6467e+01     3.253764e-01          
      2         1       180      1.886e+02      3.296e+02     4.7818e+01     7.9671e+00      2.002e+03     8.3385e+00     2.3137e+00     3.253764e-01          

      3         0       266      1.972e+02      3.154e+02     4.4805e+01     6.5823e+00      1.822e+03     5.6169e+00     9.8719e-01     2.957658e-01          
      3         1       309      1.912e+02      3.174e+02     4.4286e+01     7.2066e+00      1.826e+03     2.9970e-01     3.8442e-01     2.957658e-01          

      4         0       395      1.543e+02      1.892e+02     2.7244e+01     2.6017e+00      1.344e+03     5.6186e+00     1.4005e+00     1.859570e-01          
      4         1       438      1.385e+02      1.895e+02     2.6379e+01     3.4563e+00      1.363e+03     4.8254e-01     4.4939e-01     1.859570e-01          

      5         0       524      6.970e+01      5.437e+01     9.5122e+00     2.6053e+00      3.715e+02     5.4538e+00     2.7511e+00     3.649836e-02          
      5         1       567      1.862e+01      2.036e+01     6.4911e+00     1.2391e+00      4.112e+02     1.8444e+00     1.2272e+00     3.649836e-02          

      6         0       653     -2.422e+01     -2.249e+01     2.4112e+00     1.6606e+00     -2.249e+01     2.4112e+00     1.6606e+00     0.000000e+00          
      6         1       696     -4.172e+01     -4.046e+01     1.3520e+00     1.4874e+00     -4.046e+01     1.3520e+00     1.4874e+00     0.000000e+00          
      6         2       739     -4.293e+01     -4.098e+01     1.1552e+00     1.4429e+00     -4.098e+01     1.1552e+00     1.4429e+00     0.000000e+00          
      6         3       782     -4.301e+01     -3.881e+01     1.0992e+00     1.3807e+00     -3.881e+01     1.0992e+00     1.3807e+00     0.000000e+00          
      6         4       825     -4.284e+01     -3.731e+01     1.0557e+00     1.3237e+00     -3.731e+01     1.0557e+00     1.3237e+00     0.000000e+00          
      6         5       868     -4.355e+01     -3.755e+01     9.8062e-01     1.2964e+00     -3.755e+01     9.8062e-01     1.2964e+00     0.000000e+00          
      6         6       911     -4.225e+01     -3.456e+01     9.8244e-01     1.2237e+00     -3.456e+01     9.8244e-01     1.2237e+00     0.000000e+00          
      6         7       954     -4.327e+01     -3.542e+01     8.9223e-01     1.2147e+00     -3.542e+01     8.9223e-01     1.2147e+00     0.000000e+00          
      6         8       997     -4.122e+01     -3.163e+01     9.1211e-01     1.1249e+00     -3.163e+01     9.1211e-01     1.1249e+00     0.000000e+00          
      6         9      1040     -4.284e+01     -3.355e+01     7.9715e-01     1.1401e+00     -3.355e+01     7.9715e-01     1.1401e+00     0.000000e+00          
