# SNOPT iteration timing history
# Iter    Time (s)    Total Time (s)    Objective  
    1        0.97        0.97        215.285     
    2        1.12        2.09        186.745     
    3        0.93        3.02        160.759     
    4        0.91        3.93        186.031     
    5        1.18        5.11        714.094     
    6        0.68        5.79        62.2908     
    7        1.48        7.27        171.769     
    8        0.72        7.99        15.5396     
    9        1.42        9.41        3.44397     
   10        1.13        10.53        -4.72297     
   11        1.10        11.63        -4.59149     
   12        0.84        12.47        -5.56879     
   13        1.31        13.78        -5.62295     
   14        1.36        15.14        -5.63857     
   15        1.38        16.52        -5.64069     
   16        1.39        17.91        -5.64074     
   17        1.38        19.29        -5.64074     
   18        1.41        20.70        -5.64074     
