# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.01        0.01        215.285       0.0000      0     0
    1        0.41        0.42        300.312       7.0472      0     0
    2        0.27        0.70        195.988       3.7586      0     0
    3        0.26        0.96        175.978       3.1984      0     0
    4        0.28        1.25        120.227       1.8143      0     0
    5        0.44        1.69        31.2988       0.5768      0     0
    6        0.46        2.15        -3.50124       0.2435      0     0
    7        0.32        2.47        -14.3299       0.1489      0     0
    8        0.51        2.98        -15.891       0.0607      0     0
    9        0.43        3.40        -13.2576       0.0318      0     0
   10        0.48        3.89        -9.56303       0.0129      0     0
   11        0.78        4.66        -6.77536       0.0031      0     0
   12        0.58        5.24        -5.94534       0.0008      0     0
   13        0.86        6.10        -5.66117       0.0001      0     0
   14        0.47        6.57        -5.64093       0.0000      0     0
   15        0.47        7.04        -5.64083       0.0000      0     0
   16        0.47        7.51        -5.64077       0.0000      0     0
   17        0.47        7.98        -5.64077       0.0000      0     0
   18        0.47        8.45        -5.64076       0.0000      0     0
   19        0.47        8.92        -5.64076       0.0000      0     0
   20        0.47        9.39        -5.64076       0.0000      0     0
   21        0.47        9.86        -5.64075       0.0000      0     0
   22        0.47        10.33        -5.64075       0.0000      0     0
   23        0.47        10.79        -5.64075       0.0000      0     0
   24        0.47        11.26        -5.64075       0.0000      0     0
   25        0.43        11.69        -5.64075       0.0000      0     0
   26        0.45        12.14        -5.64075       0.0000      0     0
   27        0.47        12.61        -5.64075       0.0000      0     0
   28        0.51        13.12        -5.64075       0.0000      0     0
   29        0.02        13.14        -5.64075       0.0000      0     0
