# SNOPT iteration timing history
# Iter    Time (s)    Total Time (s)    Objective  
    1        1.04        1.04        215.285     
    2        1.16        2.20        186.745     
    3        0.93        3.13        160.759     
    4        1.05        4.18        186.031     
    5        1.28        5.46        714.094     
    6        0.64        6.10        62.2908     
    7        1.34        7.44        171.769     
    8        0.59        8.03        15.5396     
    9        1.16        9.19        3.44397     
   10        1.14        10.33        -4.72297     
   11        1.13        11.46        -4.59149     
   12        0.61        12.07        -5.56879     
   13        1.18        13.25        -5.62295     
   14        1.13        14.38        -5.63857     
   15        1.13        15.51        -5.64069     
   16        1.10        16.62        -5.64074     
   17        1.06        17.68        -5.64074     
   18        1.05        18.73        -5.64074     
