# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.01        0.01        215.285       0.0000      0     0
    1        0.56        0.57        300.286       7.0472      0     0
    2        0.38        0.95        195.733       3.7482      0     0
    3        0.34        1.28        175.613       3.1866      0     0
    4        0.38        1.66        119.623       1.8030      0     0
    5        0.64        2.30        31.0329       0.5740      0     0
    6        0.74        3.04        -3.54147       0.2430      0     0
    7        0.55        3.58        -14.3414       0.1486      0     0
    8        0.98        4.56        -15.8912       0.0606      0     0
    9        0.80        5.36        -13.2602       0.0319      0     0
   10        0.85        6.21        -9.5669       0.0130      0     0
   11        1.36        7.56        -6.77543       0.0031      0     0
   12        1.08        8.64        -5.94531       0.0008      0     0
   13        1.00        9.65        -5.66117       0.0001      0     0
   14        1.71        11.35        -5.64093       0.0000      0     0
   15        1.08        12.44        -5.64075       0.0000      0     0
   16        1.19        13.62        -5.64074       0.0000      0     0
   17        0.01        13.64        -5.64074       0.0000      0     0
