# Kona Param. Contn. convergence history (opt tol = 2.630149e-06 | feas tol = 2.329004e-05)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0         0         1      2.153e+02      2.153e+02     2.6301e+01     2.3290e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000     

      1         0         8      6.438e+00      3.485e+04     1.9541e+03     2.3383e+02      1.836e+04     1.2507e+03     9.5999e+01     3.600217e-01          
      1         1        45      5.233e+02      1.731e+03     3.0760e+02     2.6067e+01      1.686e+03     1.7521e+02     2.6144e-03     3.600217e-01          

      2         0       181      2.922e+02      4.745e+02     6.7044e+01     8.4015e+00      1.655e+03     2.3747e+01     4.4166e-01     2.914854e-01          
      2         1       254      1.962e+02      3.237e+02     4.5119e+01     7.2438e+00      1.791e+03     1.9736e+00     1.3658e-02     2.914854e-01          

      3         0       328      1.843e+02      2.845e+02     3.9897e+01     5.9034e+00      1.671e+03     4.8051e+00     1.1507e-01     2.605777e-01          
      3         1       401      1.763e+02      2.726e+02     3.8129e+01     5.8276e+00      1.690e+03     4.8303e-02     7.9777e-04     2.605777e-01          

      4         0       475      1.340e+02      1.648e+02     2.3026e+01     2.1636e+00      1.204e+03     4.2389e+00     6.7340e-01     1.591978e-01          
      4         1       548      1.207e+02      1.608e+02     2.2362e+01     2.7543e+00      1.230e+03     1.1362e-01     4.6590e-03     1.591978e-01          

      5         0       622      5.933e+01      6.501e+01     9.9908e+00     7.1946e-01      5.362e+02     3.1368e+00     6.3084e-01     5.382113e-02          
      5         1       695      3.267e+01      4.751e+01     8.2692e+00     9.3303e-01      5.851e+02     4.3976e-01     1.7740e-01     5.382113e-02          

      6         0       843      2.020e+00      1.300e+01     4.5297e+00     6.0011e-01      2.988e+02     9.3464e-01     2.1786e-01     2.356884e-02          
      6         1       916     -2.750e+00      1.105e+01     3.9732e+00     6.2235e-01      3.102e+02     1.7795e-01     1.9564e-01     2.356884e-02          

      7         0      1064     -1.544e+01     -1.773e+00     2.3163e+00     5.6752e-01      1.639e+02     3.9878e-01     3.4299e-01     1.155759e-02          
      7         1      1137     -1.387e+01     -4.990e-01     2.0806e+00     4.4721e-01      1.665e+02     1.1045e-01     2.1870e-01     1.155759e-02          

      8         0      1285     -1.467e+01     -3.478e+00     1.3654e+00     4.7107e-01      8.569e+01     3.4109e-01     3.8814e-01     5.902574e-03          
      8         1      1358     -1.509e+01     -3.607e+00     1.2369e+00     4.5524e-01      8.672e+01     1.8666e-01     3.6961e-01     5.902574e-03          

