# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.01        0.01        215.285       0.0000      0     0
    1        0.69        0.70        300.338       7.0476      0     0
    2        0.60        1.30        196.191       3.7690      0     0
    3        0.59        1.89        176.255       3.2075      0     0
    4        0.60        2.49        120.727       1.8238      0     0
    5        0.90        3.39        31.4911       0.5814      0     0
    6        0.90        4.29        -3.1742       0.2407      0     0
    7        0.90        5.19        -14.9218       0.1188      0     0
    8        0.89        6.08        -16.6381       0.0691      0     0
    9        0.90        6.97        -13.5585       0.0661      0     0
   10        0.90        7.87        -7.10151       0.0312      0     0
   11        0.91        8.78        -6.70259       0.0304      0     0
   12        0.89        9.67        -6.25587       0.0277      0     0
   13        0.89        10.57        -5.00192       0.0252      0     0
   14        0.90        11.47        -4.69425       0.0245      0     0
   15        0.90        12.36        -4.52105       0.0245      0     0
   16        0.90        13.26        -4.41045       0.0245      0     0
    0        0.31        13.57        -4.47582       0.0246      1     0
    1        0.30        13.87        -4.4282       0.0233      1     0
    2        0.31        14.18        -4.46082       0.0231      1     0
    3        0.31        14.49        -4.43735       0.0237      1     0
    4        0.32        14.81        -4.28438       0.0233      1     0
    5        0.33        15.13        -4.2968       0.0239      1     0
    6        0.33        15.46        -4.34048       0.0238      1     0
    7        0.34        15.80        -4.22844       0.0238      1     0
    8        0.34        16.14        -4.22088       0.0238      1     0
    9        0.34        16.48        -4.21354       0.0237      1     0
   17        0.01        16.49        -4.21354       0.0237      1     0
