# Kona Param. Contn. convergence history (opt tol = 1.321086e-06 | feas tol = 9.887564e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0         0         1      4.315e+01      4.315e+01     1.3211e+01     9.8876e+01     0.0000e+00     0.0000e+00     0.0000e+00     1.0000     

      1         0         9      3.543e+01      6.793e+03     7.8131e+02     1.1396e+02      3.393e+03     4.7042e+02     4.4948e+01     3.985523e-01          
      1         1        25      1.053e+06      1.053e+06     4.5683e+03     3.4709e+02      6.765e+05     2.9308e+03     2.0810e+02     3.985523e-01          

      2         0        57      1.068e+06      1.066e+06     4.4661e+03     9.8135e+02      7.083e+05     2.9554e+03     6.1027e+02     3.787591e-01          
      2         1        73      9.822e+05      9.739e+05     3.9512e+03     5.2544e+03      6.887e+05     2.6470e+03     3.2648e+03     3.787591e-01          

      3         0       109      1.738e+07      1.735e+07     1.6030e+04     1.7637e+04      1.238e+07     1.0807e+04     1.0961e+04     3.785500e-01          
      3         1       127      2.486e+08      2.485e+08     5.9989e+04     9.7563e+04      1.793e+08     4.0528e+04     6.0631e+04     3.785500e-01          

      4         0       161      7.460e+09      7.459e+09     3.4837e+05     2.8370e+05      5.191e+09     2.3305e+05     1.7631e+05     3.785317e-01          
      4         1       177      4.797e+10      4.797e+10     7.3292e+05     1.7254e+06      3.667e+10     5.0774e+05     1.0723e+06     3.785317e-01          

      5         0       213      3.186e+12      3.186e+12     7.4618e+06     4.0827e+06      2.172e+12     4.9646e+06     2.5373e+06     3.785313e-01          
      5         1       229      8.044e+12      8.044e+12     7.0334e+06     2.9357e+07      6.807e+12     5.2957e+06     1.8244e+07     3.785313e-01          

      6         0       279      1.012e+15      1.012e+15     1.2654e+08     9.5378e+07      7.026e+14     8.4809e+07     5.9274e+07     3.785312e-01          
      6         1       297      8.135e+16      8.135e+16     7.2541e+08     3.3148e+09      7.151e+16     5.4374e+08     2.0601e+09     3.785312e-01          

      7         0       387      1.828e+26      1.828e+26     4.0665e+17     1.5871e+14      1.620e+26     2.5272e+17     9.8632e+13     3.785312e-01          
      7         1       425      2.164e+44      2.164e+44     7.1769e+26     1.4305e+23      1.912e+44     4.4602e+26     8.8898e+22     3.785312e-01          

      8         0       515      1.760e+49      1.065e+52     6.0530e+51     1.2863e+26      2.900e+51     3.7618e+51     7.8109e+25     3.785312e-01          
      8         1       559      2.690e+118      2.690e+118     1.3444e+99     5.6711e+59      2.395e+118     8.3551e+98     3.5244e+59     3.785312e-01          

      9         0       583      2.881e+126      4.753e+136     1.5200e+136     6.2376e+84      4.753e+136     1.5200e+136     6.2376e+84     0.000000e+00          
      9         1       627      2.139e+211     -7.747e+239     inf     1.3400e+106     -7.747e+239     inf     1.3400e+106     0.000000e+00          
      9         2       632      2.139e+211     -7.747e+239     inf     1.3400e+106     -7.747e+239     inf     1.3400e+106     0.000000e+00          
      9         3       637      2.139e+211     -7.747e+239     inf     1.3400e+106     -7.747e+239     inf     1.3400e+106     0.000000e+00          
      9         4       642      2.139e+211     -7.747e+239     inf     1.3400e+106     -7.747e+239     inf     1.3400e+106     0.000000e+00          
      9         5       647      2.139e+211     -7.747e+239     inf     1.3400e+106     -7.747e+239     inf     1.3400e+106     0.000000e+00          
      9         6       652      2.139e+211     -7.747e+239     inf     1.3400e+106     -7.747e+239     inf     1.3400e+106     0.000000e+00          
      9         7       657      2.139e+211     -7.747e+239     inf     1.3400e+106     -7.747e+239     inf     1.3400e+106     0.000000e+00          
      9         8       662      2.139e+211     -7.747e+239     inf     1.3400e+106     -7.747e+239     inf     1.3400e+106     0.000000e+00          
      9         9       667      2.139e+211     -7.747e+239     inf     1.3400e+106     -7.747e+239     inf     1.3400e+106     0.000000e+00          
