# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.02        0.02        43.1493       0.0000      0     0
    1        0.19        0.21        1.07592e+06       7.0965      0     0
    2        0.18        0.39        1.74308e+07       5.0089      0     0
    3        0.17        0.56        7.46094e+09       5.0240      0     0
    4        0.18        0.73        3.1856e+12       5.0598      0     0
    5        0.23        0.97        1.01167e+15       6.8946      0     0
    6        0.43        1.39        1.8283e+26       295693453704510272.0000      0     0
    7        0.51        1.90        1.76045e+49       5470002581097107322555061992272438710121178918289408.0000      0     0
    8        0.26        2.16        2.88067e+126       11558762988465084468160116165471927707940099520012107952245293124656898890828799574076841477106009396158008730306944036705275830303981568.0000      0     0
    0        0.19        2.35        2.13938e+211       3237710936238263084971706837918709354447868597155425414872172991426357841039106141468660672960936260915903552703259894824262895941383085714449177741368451063658191503402991616.0000     11    82
    1        0.01        2.36        2.13938e+211       3237710936238263084971706837918709354447868597155425414872172991426357841039106141468660672960936260915903552703259894824262895941383085714449177741368451063658191503402991616.0000     11    82
    2        0.01        2.38        2.13938e+211       3237710936238263084971706837918709354447868597155425414872172991426357841039106141468660672960936260915903552703259894824262895941383085714449177741368451063658191503402991616.0000     11    82
    3        0.02        2.39        2.13938e+211       3237710936238263084971706837918709354447868597155425414872172991426357841039106141468660672960936260915903552703259894824262895941383085714449177741368451063658191503402991616.0000     11    82
    4        0.01        2.41        2.13938e+211       3237710936238263084971706837918709354447868597155425414872172991426357841039106141468660672960936260915903552703259894824262895941383085714449177741368451063658191503402991616.0000     11    82
    5        0.01        2.42        2.13938e+211       3237710936238263084971706837918709354447868597155425414872172991426357841039106141468660672960936260915903552703259894824262895941383085714449177741368451063658191503402991616.0000     11    82
    6        0.01        2.43        2.13938e+211       3237710936238263084971706837918709354447868597155425414872172991426357841039106141468660672960936260915903552703259894824262895941383085714449177741368451063658191503402991616.0000     11    82
    7        0.02        2.45        2.13938e+211       3237710936238263084971706837918709354447868597155425414872172991426357841039106141468660672960936260915903552703259894824262895941383085714449177741368451063658191503402991616.0000     11    82
    8        0.01        2.46        2.13938e+211       3237710936238263084971706837918709354447868597155425414872172991426357841039106141468660672960936260915903552703259894824262895941383085714449177741368451063658191503402991616.0000     11    82
    9        0.01        2.48        2.13938e+211       3237710936238263084971706837918709354447868597155425414872172991426357841039106141468660672960936260915903552703259894824262895941383085714449177741368451063658191503402991616.0000     11    82
    9        0.00        2.48        2.13938e+211       3237710936238263084971706837918709354447868597155425414872172991426357841039106141468660672960936260915903552703259894824262895941383085714449177741368451063658191503402991616.0000     11    82
