# SNOPT iteration timing history
# Iter    Time (s)    Total Time (s)    Objective  
    1        0.09        0.09        43.1493     
    2        0.08        0.16        32.1595     
    3        0.04        0.20        23.3734     
    4        0.04        0.24        39.2383     
    5        0.03        0.27        10.2657     
    6        0.04        0.31        86.9672     
    7        0.03        0.34        3.56225     
    8        0.04        0.38        19.1126     
    9        0.03        0.41        3.09738     
   10        0.04        0.45        10.2879     
   11        0.04        0.49        10.075     
   12        0.04        0.53        10.0155     
   13        0.04        0.57        10.0131     
   14        0.04        0.60        10.0122     
   15        0.04        0.64        10.0122     
   16        0.04        0.68        10.0122     
