# SNOPT iteration timing history
# Iter    Time (s)    Total Time (s)    Objective  
    1        0.12        0.12        51.0172     
    2        0.10        0.21        40.1804     
    3        0.09        0.30        30.8016     
    4        0.08        0.38        -62.0852     
    5        0.08        0.46        -205.258     
    6        0.08        0.53        -207.196     
    7        0.06        0.59        -258.976     
    8        0.08        0.67        -264.705     
    9        0.08        0.74        -279.378     
   10        0.07        0.82        -279.256     
   11        0.06        0.88        -279.781     
   12        0.07        0.95        -279.792     
   13        0.08        1.03        -279.798     
   14        0.08        1.10        -279.798     
   15        0.08        1.18        -279.798     
   16        0.08        1.25        -279.798     
