# Kona Param. Contn. convergence history (opt tol = 8.799407e-07 | feas tol = 1.424389e-05)
# outer     inner      cost      objective     lagrangian       opt 2norm     S*Lam 2norm      feas 2norm       homotopy        hom opt       hom feas     mu               opt infty     S*Lam infty      feas infty     
      0         0         1      5.102e+01      5.102e+01     8.7994e+00     0.0000e+00     1.4244e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000          1.1399e+00     0.0000e+00     1.0138e+01     

      1         0         8      1.937e+01      8.542e+03     5.2478e+01     5.9884e+02     1.4232e+02      2.556e+03     2.5270e+02     2.5127e+01     5.795786e-01          8.7485e+00     4.2621e+01     1.0130e+01     
      1         1        19      2.305e+01      2.151e+03     3.0840e+01     1.9649e+02     5.3712e+01      2.038e+03     4.2092e+01     8.8885e-01     5.795786e-01          4.9630e+00     1.4160e+01     4.2400e+00     

      2         0        49      7.597e+00      8.671e+02     2.3317e+01     9.6709e+01     2.7405e+01      2.623e+03     2.2518e+00     1.4969e+00     4.903734e-01          3.8236e+00     7.1806e+00     2.5723e+00     
      2         1        68      2.306e+00      8.532e+02     2.1993e+01     9.2409e+01     2.8617e+01      2.610e+03     3.6397e-02     9.7237e-03     4.903734e-01          3.6291e+00     7.1236e+00     2.6411e+00     

      3         0        85     -1.129e+01      1.661e+02     1.6311e+01     4.7978e+01     7.3708e+00      2.176e+03     3.9079e+00     4.7632e+00     3.197948e-01          2.7605e+00     3.5811e+00     1.1416e+00     
      3         1       114     -3.305e+01      2.564e+02     1.4839e+01     5.0203e+01     1.1660e+01      2.106e+03     4.9801e-01     3.3960e-02     3.197948e-01          2.5233e+00     4.0530e+00     1.3916e+00     

      4         0       168     -6.727e+01     -4.838e-01     9.5053e+00     2.6764e+01     3.4887e+00      1.374e+03     1.5373e+00     1.8153e+00     1.948646e-01          1.6250e+00     2.1389e+00     6.7494e-01     
      4         1       211     -8.890e+01      6.249e+00     9.3628e+00     2.7427e+01     4.7954e+00      1.370e+03     9.3146e-02     3.4998e-02     1.948646e-01          1.6070e+00     2.2531e+00     7.4693e-01     

