# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.01        0.01        138.39       0.0000      0     0
    1        0.08        0.09        -4.59576       7.5958      0     0
    2        0.08        0.18        -92.4547       4.3687      0     0
    3        0.12        0.30        -225.191       2.5936      0     0
    4        0.13        0.43        -357.313       1.6398      0     0
    5        0.19        0.62        -520.603       0.8939      0     0
    6        0.21        0.82        -699.009       0.3199      0     0
    7        0.19        1.02        -772.378       0.0740      0     0
    8        0.19        1.20        -777.414       0.0554      0     0
    9        0.19        1.39        -778.254       0.0432      0     0
   10        0.19        1.58        -778.829       0.0423      0     0
   11        0.19        1.76        -778.687       0.0420      0     0
   12        0.19        1.96        -779.136       0.0330      0     0
   13        0.19        2.14        -779.263       0.0335      0     0
   14        0.19        2.33        -779.515       0.0295      0     0
   15        0.19        2.52        -779.616       0.0277      0     0
   16        0.19        2.71        -779.921       0.0255      0     0
   17        0.19        2.90        -779.844       0.0245      0     0
   18        0.19        3.09        -780.061       0.0232      0     0
   19        0.19        3.28        -779.971       0.0216      0     0
   20        0.19        3.47        -780.057       0.0200      0     0
   21        0.19        3.65        -779.829       0.0229      0     0
   22        0.19        3.85        -780.015       0.0252      0     0
   23        0.19        4.04        -779.955       0.0193      0     0
   24        0.19        4.22        -779.842       0.0193      0     0
   25        0.19        4.41        -779.648       0.0231      0     0
   26        0.19        4.60        -779.851       0.0193      0     0
   27        0.19        4.79        -779.801       0.0187      0     0
   28        0.19        4.98        -779.731       0.0194      0     0
   29        0.19        5.17        -779.724       0.0209      0     0
   30        0.19        5.35        -779.682       0.0197      0     0
   31        0.19        5.54        -779.585       0.0194      0     0
   32        0.19        5.73        -779.469       0.0193      0     0
   33        0.20        5.93        -779.432       0.0195      0     0
   34        0.19        6.12        -779.365       0.0186      0     0
   35        0.19        6.30        -779.419       0.0174      0     0
   36        0.19        6.49        -779.344       0.0196      0     0
   37        0.19        6.68        -779.244       0.0170      0     0
   38        0.20        6.88        -779.216       0.0142      0     0
   39        0.19        7.06        -778.97       0.0162      0     0
   40        0.19        7.25        -778.949       0.0112      0     0
   41        0.19        7.44        -778.991       0.0104      0     0
   42        0.19        7.62        -778.945       0.0129      0     0
   43        0.19        7.81        -778.882       0.0115      0     0
   44        0.20        8.01        -778.837       0.0096      0     0
   45        0.19        8.19        -778.747       0.0155      0     0
   46        0.19        8.38        -778.608       0.0109      0     0
   47        0.19        8.57        -778.673       0.0102      0     0
   48        0.19        8.75        -778.532       0.0097      0     0
   49        0.19        8.95        -778.529       0.0106      0     0
   50        0.19        9.13        -778.458       0.0097      0     0
   51        0.19        9.32        -778.395       0.0093      0     0
   52        0.19        9.51        -778.297       0.0088      0     0
   53        0.19        9.69        -778.345       0.0084      0     0
   54        0.19        9.89        -778.194       0.0094      0     0
   55        0.19        10.07        -778.141       0.0106      0     0
   56        0.19        10.26        -778.051       0.0098      0     0
   57        0.19        10.45        -777.995       0.0098      0     0
   58        0.19        10.63        -777.997       0.0076      0     0
   59        0.19        10.82        -777.813       0.0125      0     0
   60        0.19        11.02        -777.765       0.0078      0     0
