# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.01        0.01        137.427       0.0000      0     0
    1        0.06        0.07        -8.7218       7.6184      0     0
    2        0.04        0.11        -90.0422       4.3855      0     0
    3        0.04        0.15        -219.489       2.5891      0     0
    4        0.05        0.20        -346.036       1.6443      0     0
    5        0.05        0.25        -504.664       0.8911      0     0
    6        0.06        0.31        -667.726       0.3215      0     0
    7        0.10        0.41        -731.554       0.0961      0     0
    8        0.09        0.50        -741.094       0.0403      0     0
    9        0.07        0.56        -743.376       0.0244      0     0
   10        0.07        0.63        -744.317       0.0098      0     0
   11        0.10        0.74        -744.223       0.0076      0     0
   12        0.11        0.85        -744.037       0.0047      0     0
   13        0.09        0.94        -743.739       0.0029      0     0
   14        0.09        1.03        -743.341       0.0011      0     0
   15        0.10        1.13        -743.075       0.0002      0     0
   16        0.10        1.23        -743.037       0.0001      0     0
   17        0.05        1.28        -743.036       0.0001      0     0
   18        0.11        1.39        -743.022       0.0001      0     0
   19        0.08        1.47        -743.022       0.0001      0     0
   20        0.09        1.56        -743.022       0.0001      0     0
   21        0.09        1.64        -743.022       0.0001      0     0
   22        0.08        1.73        -743.022       0.0001      0     0
   23        0.09        1.82        -743.02       0.0001      0     0
    0        0.04        1.87        -743.018       0.0000      0     0
   24        0.01        1.87        -743.018       0.0000      0     0
