# Kona Param. Contn. convergence history (opt tol = 2.630149e-06 | feas tol = 2.329004e-05)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0         0         1      2.153e+02      2.153e+02     2.6301e+01     2.3290e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000     

      1         0         8      6.438e+00      3.485e+04     1.9541e+03     2.3383e+02      1.836e+04     1.2507e+03     9.5999e+01     3.600217e-01          
      1         1        21      5.233e+02      1.731e+03     3.0763e+02     2.6069e+01      1.686e+03     1.7523e+02     1.5959e-03     3.600217e-01          

      2         0        51      2.920e+02      4.726e+02     6.6802e+01     8.3275e+00      1.651e+03     2.3737e+01     4.5509e-01     2.903291e-01          
      2         1        66      1.957e+02      3.223e+02     4.4911e+01     7.1944e+00      1.787e+03     1.9778e+00     1.2211e-06     2.903291e-01          

      3         0        81      1.837e+02      2.829e+02     3.9660e+01     5.8503e+00      1.666e+03     4.7731e+00     1.1386e-01     2.591874e-01          
      3         1        94      1.756e+02      2.710e+02     3.7893e+01     5.7754e+00      1.684e+03     4.8027e-02     1.3126e-06     2.591874e-01          

      4         0       109      1.331e+02      1.633e+02     2.2802e+01     2.1267e+00      1.195e+03     4.2035e+00     6.7499e-01     1.575525e-01          
      4         1       126      1.196e+02      1.591e+02     2.2129e+01     2.7158e+00      1.221e+03     1.1423e-01     2.1803e-06     1.575525e-01          

      5         0       143      5.852e+01      6.432e+01     9.9186e+00     7.1449e-01      5.334e+02     3.0947e+00     6.1360e-01     5.340213e-02          
      5         1       162      3.220e+01      4.696e+01     8.1924e+00     9.1273e-01      5.817e+02     4.0665e-01     3.2542e-07     5.340213e-02          

      6         0       200      1.391e+00      1.244e+01     4.4771e+00     5.8026e-01      2.950e+02     9.2836e-01     1.4918e-01     2.320706e-02          
      6         1       223     -3.044e+00      1.067e+01     3.8860e+00     5.7088e-01      3.065e+02     1.8386e-01     8.2823e-09     2.320706e-02          

      7         0       265     -1.455e+01     -1.076e+00     2.3186e+00     4.4554e-01      1.704e+02     3.1448e-01     8.1629e-02     1.201332e-02          
      7         1       292     -1.434e+01     -6.069e-01     2.1145e+00     4.0866e-01      1.730e+02     3.1257e-02     2.7999e-06     1.201332e-02          

      8         0       317     -1.750e+01     -5.126e+00     1.1356e+00     2.9138e-01      7.887e+01     1.8884e-01     6.3740e-02     5.379921e-03          
      8         1       360     -1.576e+01     -4.430e+00     9.9620e-01     2.4750e-01      7.968e+01     6.4430e-02     3.6357e-05     5.379921e-03          

      9         0       428     -1.405e+01     -5.438e+00     5.6674e-01     1.6493e-01      4.012e+01     5.5475e-02     1.7880e-02     2.827583e-03          
