# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.03        0.03        43.1493       0.0000      0     0
    1        0.24        0.27        70.6846       7.0970      0     0
    2        0.25        0.52        34.509       1.7631      0     0
    3        0.17        0.69        30.8768       1.4742      0     0
    4        0.28        0.97        12.6006       0.4557      0     0
    5        0.32        1.29        7.3656       0.2002      0     0
    6        0.34        1.63        6.58175       0.0966      0     0
    7        0.35        1.97        7.74949       0.0399      0     0
    8        0.47        2.45        9.51352       0.0062      0     0
    9        0.47        2.92        9.99596       0.0002      0     0
   10        0.47        3.39        10.0101       0.0000      0     0
   11        0.47        3.86        10.0121       0.0000      0     0
   12        0.24        4.09        10.0121       0.0000      0     0
   13        0.24        4.33        10.0122       0.0000      0     0
   14        0.23        4.57        10.0122       0.0000      0     0
   15        0.01        4.57        10.0122       0.0000      0     0
