# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.01        0.01        215.285       0.0000      0     0
    1        3.27        3.28        300.286       7.0472      0     0
    2        2.43        5.71        195.737       3.7484      0     0
    3        2.22        7.93        175.621       3.1868      0     0
    4        2.93        10.86        119.639       1.8032      0     0
    5        5.13        15.99        31.0455       0.5741      0     0
    6        5.61        21.59        -3.53855       0.2430      0     0
    7        4.66        26.26        -14.3417       0.1486      0     0
    8        10.57        36.82        -15.8912       0.0606      0     0
    9        8.61        45.43        -13.2612       0.0319      0     0
   10        8.10        53.53        -9.57158       0.0127      0     0
   11        12.22        65.75        -6.78095       0.0032      0     0
   12        12.06        77.81        -5.97146       0.0009      0     0
   13        11.82        89.63        -5.78263       0.0005      0     0
   14        11.74        101.38        -5.70818       0.0002      0     0
   15        11.73        113.11        -5.65137       0.0001      0     0
   16        11.72        124.83        -5.6421       0.0001      0     0
   17        11.98        136.81        -5.64143       0.0000      0     0
   18        13.57        150.37        -5.64125       0.0000      0     0
    0        4.49        154.86        -5.64108       0.0000      0     0
    1        3.96        158.82        -5.64111       0.0000      0     0
    2        3.96        162.77        -5.6411       0.0000      0     0
    3        4.40        167.17        -5.6411       0.0000      0     0
    4        4.51        171.68        -5.6411       0.0000      0     0
    5        4.22        175.90        -5.64111       0.0000      0     0
    6        4.07        179.97        -5.6411       0.0000      0     0
    7        4.10        184.07        -5.6411       0.0000      0     0
    8        4.13        188.20        -5.6411       0.0000      0     0
    9        4.10        192.30        -5.6411       0.0000      0     0
   19        0.02        192.32        -5.6411       0.0000      0     0
