# SNOPT iteration timing history
# Iter    Time (s)    Total Time (s)    Objective  
    1        0.96        0.96        215.285     
    2        1.26        2.22        186.745     
    3        1.21        3.43        160.759     
    4        1.21        4.64        186.031     
    5        1.32        5.96        714.094     
    6        0.71        6.67        62.2908     
    7        1.45        8.12        171.769     
    8        0.70        8.83        15.5396     
    9        1.11        9.93        3.44397     
   10        1.11        11.04        -4.72297     
   11        1.20        12.24        -4.59149     
   12        0.70        12.94        -5.56879     
   13        1.16        14.09        -5.62295     
   14        1.18        15.28        -5.63857     
   15        1.17        16.45        -5.64069     
   16        1.16        17.62        -5.64074     
   17        1.12        18.74        -5.64074     
   18        1.11        19.85        -5.64074     
