# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.01        0.01        215.285       0.0000      0     0
    1        0.30        0.31        300.348       7.0473      0     0
    2        0.21        0.52        196.066       3.7618      0     0
    3        0.20        0.72        176.093       3.2022      0     0
    4        0.27        0.99        120.443       1.8184      0     0
    5        0.36        1.35        31.3725       0.5776      0     0
    6        0.39        1.74        -3.49305       0.2436      0     0
    7        0.39        2.13        -14.3273       0.1489      0     0
    8        0.63        2.76        -15.8914       0.0605      0     0
    9        0.46        3.22        -13.2457       0.0322      0     0
   10        0.66        3.88        -9.66675       0.0119      0     0
   11        0.66        4.54        -6.97368       0.0037      0     0
   12        0.67        5.20        -6.34818       0.0019      0     0
   13        0.66        5.86        -5.86451       0.0008      0     0
   14        0.67        6.53        -5.67144       0.0003      0     0
   15        0.66        7.19        -5.64577       0.0002      0     0
   16        0.66        7.84        -5.64411       0.0001      0     0
   17        0.66        8.51        -5.64404       0.0001      0     0
   18        0.66        9.16        -5.64216       0.0001      0     0
   19        0.65        9.82        -5.64082       0.0001      0     0
    0        0.23        10.05        -5.64087       0.0001      0     0
    1        0.23        10.28        -5.64107       0.0001      0     0
    2        0.22        10.50        -5.64083       0.0001      0     0
    3        0.22        10.72        -5.64093       0.0001      0     0
    4        0.22        10.94        -5.64133       0.0001      0     0
    5        0.22        11.16        -5.6405       0.0001      0     0
    6        0.22        11.38        -5.64061       0.0001      0     0
    7        0.22        11.61        -5.64062       0.0001      0     0
    8        0.22        11.83        -5.64075       0.0001      0     0
    9        0.22        12.05        -5.64091       0.0001      0     0
   20        0.01        12.06        -5.64091       0.0001      0     0
