# SNOPT iteration timing history
# Iter    Time (s)    Total Time (s)    Objective  
    1        0.98        0.98        215.285     
    2        1.26        2.24        186.745     
    3        1.22        3.46        160.759     
    4        1.20        4.65        186.031     
    5        1.32        5.97        714.094     
    6        0.70        6.67        62.2908     
    7        1.45        8.12        171.769     
    8        0.84        8.97        15.5396     
    9        1.25        10.21        3.44397     
   10        1.33        11.55        -4.72297     
   11        1.37        12.92        -4.59149     
   12        0.81        13.73        -5.56879     
   13        1.22        14.95        -5.62295     
   14        1.31        16.26        -5.63857     
   15        1.36        17.62        -5.64069     
   16        1.38        19.00        -5.64074     
   17        1.27        20.27        -5.64074     
   18        1.13        21.40        -5.64074     
