# Kona Param. Contn. convergence history (opt tol = 2.630149e-06 | feas tol = 2.329004e-05)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0         0         1      2.153e+02      2.153e+02     2.6301e+01     2.3290e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000     

      1         0         9      6.438e+00      3.485e+04     1.9541e+03     2.3383e+02      1.836e+04     1.2507e+03     9.5999e+01     3.600217e-01          
      1         1        25      5.231e+02      1.731e+03     3.0762e+02     2.6069e+01      1.686e+03     1.7522e+02     5.9569e-05     3.600217e-01          

      2         0        57      2.921e+02      4.732e+02     6.6868e+01     8.3482e+00      1.653e+03     2.3739e+01     4.5118e-01     2.906624e-01          
      2         1        75      1.959e+02      3.227e+02     4.4971e+01     7.2088e+00      1.788e+03     1.9765e+00     1.3283e-08     2.906624e-01          

      3         0        92      1.839e+02      2.833e+02     3.9728e+01     5.8658e+00      1.667e+03     4.7821e+00     1.1411e-01     2.595870e-01          
      3         1       108      1.758e+02      2.714e+02     3.7961e+01     5.7904e+00      1.686e+03     4.8056e-02     1.1028e-07     2.595870e-01          

      4         0       127      1.333e+02      1.637e+02     2.2866e+01     2.1372e+00      1.198e+03     4.2135e+00     6.7455e-01     1.580260e-01          
      4         1       145      1.200e+02      1.596e+02     2.2196e+01     2.7269e+00      1.224e+03     1.1403e-01     8.5565e-08     1.580260e-01          

      5         0       164      5.875e+01      6.452e+01     9.9389e+00     7.1556e-01      5.342e+02     3.1070e+00     6.1787e-01     5.351722e-02          
      5         1       182      3.233e+01      4.711e+01     8.2082e+00     9.1419e-01      5.826e+02     4.0843e-01     3.5032e-07     5.351722e-02          

      6         0       218      1.439e+00      1.248e+01     4.4822e+00     5.8037e-01      2.952e+02     9.3203e-01     1.4960e-01     2.322271e-02          
      6         1       240     -3.023e+00      1.070e+01     3.8886e+00     5.7110e-01      3.066e+02     1.8481e-01     3.5046e-08     2.322271e-02          

      7         0       282     -1.455e+01     -1.070e+00     2.3200e+00     4.4568e-01      1.705e+02     3.1471e-01     8.1664e-02     1.202114e-02          
      7         1       308     -1.434e+01     -6.007e-01     2.1158e+00     4.0881e-01      1.731e+02     3.1303e-02     5.6078e-06     1.202114e-02          

      8         0       333     -1.750e+01     -5.127e+00     1.1359e+00     2.9146e-01      7.887e+01     1.8915e-01     6.3845e-02     5.380103e-03          
      8         1       377     -1.575e+01     -4.430e+00     9.9626e-01     2.4750e-01      7.968e+01     6.4597e-02     2.0165e-05     5.380103e-03          

      9         0       443     -1.405e+01     -5.438e+00     5.6665e-01     1.6491e-01      4.011e+01     5.5496e-02     1.7894e-02     2.826913e-03          
