# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.01        0.01        215.285       0.0000      0     0
    1        0.27        0.28        300.335       7.0469      0     0
    2        0.17        0.46        195.864       3.7536      0     0
    3        0.18        0.63        175.803       3.1928      0     0
    4        0.19        0.82        119.952       1.8091      0     0
    5        0.27        1.09        31.1712       0.5755      0     0
    6        0.33        1.41        -3.52092       0.2432      0     0
    7        0.27        1.68        -14.3361       0.1487      0     0
    8        0.55        2.23        -15.8912       0.0606      0     0
    9        0.46        2.69        -13.26       0.0319      0     0
   10        0.46        3.15        -9.57108       0.0127      0     0
   11        0.68        3.83        -6.78233       0.0032      0     0
   12        0.66        4.50        -5.98084       0.0009      0     0
   13        0.66        5.16        -5.77313       0.0004      0     0
   14        0.66        5.83        -5.71412       0.0002      0     0
   15        0.67        6.49        -5.67617       0.0001      0     0
   16        0.66        7.15        -5.64872       0.0000      0     0
   17        0.66        7.82        -5.64262       0.0000      0     0
   18        0.67        8.49        -5.64216       0.0000      0     0
   19        0.67        9.15        -5.64106       0.0000      0     0
    0        0.23        9.38        -5.64086       0.0000      0     0
    1        0.22        9.61        -5.64087       0.0000      0     0
    2        0.23        9.83        -5.64086       0.0000      0     0
    3        0.22        10.06        -5.64091       0.0000      0     0
    4        0.22        10.28        -5.6409       0.0000      0     0
    5        0.22        10.50        -5.64091       0.0000      0     0
    6        0.22        10.73        -5.6409       0.0000      0     0
    7        0.23        10.95        -5.6409       0.0000      0     0
    8        0.22        11.18        -5.64091       0.0000      0     0
    9        0.22        11.40        -5.64092       0.0000      0     0
   20        0.01        11.40        -5.64092       0.0000      0     0
