# SNOPT iteration timing history
# Iter    Time (s)    Total Time (s)    Objective  
    1        0.11        0.11        43.1493     
    2        0.08        0.19        32.1595     
    3        0.06        0.25        23.3734     
    4        0.06        0.31        39.2383     
    5        0.04        0.35        10.2657     
    6        0.04        0.39        86.9672     
    7        0.03        0.42        3.56225     
    8        0.04        0.46        19.1126     
    9        0.04        0.51        3.09738     
   10        0.04        0.55        10.2879     
   11        0.04        0.59        10.075     
   12        0.04        0.63        10.0155     
   13        0.04        0.67        10.0131     
   14        0.04        0.71        10.0122     
   15        0.04        0.75        10.0122     
   16        0.04        0.79        10.0122     
