# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.02        0.02        43.1493       0.0000      0     0
    1        0.20        0.22        70.6846       7.0970      0     0
    2        0.18        0.41        34.509       1.7631      0     0
    3        0.13        0.53        30.8768       1.4742      0     0
    4        0.22        0.75        12.6006       0.4557      0     0
    5        0.24        1.00        7.3656       0.2002      0     0
    6        0.26        1.25        6.58175       0.0966      0     0
    7        0.26        1.51        7.74949       0.0399      0     0
    8        0.40        1.91        9.51352       0.0062      0     0
    9        0.34        2.26        9.99596       0.0002      0     0
   10        0.34        2.60        10.0101       0.0000      0     0
   11        0.37        2.97        10.0121       0.0000      0     0
   12        0.18        3.15        10.0121       0.0000      0     0
   13        0.17        3.32        10.0122       0.0000      0     0
   14        0.20        3.52        10.0122       0.0000      0     0
   15        0.01        3.53        10.0122       0.0000      0     0
