# SNOPT iteration timing history
# Iter    Time (s)    Total Time (s)    Objective  
    1        0.11        0.11        43.1493     
    2        0.08        0.19        32.1595     
    3        0.06        0.25        23.3734     
    4        0.05        0.31        39.2383     
    5        0.04        0.35        10.2657     
    6        0.04        0.39        86.9672     
    7        0.03        0.42        3.56225     
    8        0.04        0.46        19.1126     
    9        0.03        0.50        3.09738     
   10        0.04        0.54        10.2879     
   11        0.04        0.58        10.075     
   12        0.04        0.62        10.0155     
   13        0.04        0.66        10.0131     
   14        0.06        0.72        10.0122     
   15        0.06        0.78        10.0122     
   16        0.06        0.84        10.0122     
