# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.02        0.02        43.1493       0.0000      0     0
    1        0.12        0.14        70.6893       7.0970      0     0
    2        0.12        0.27        34.5069       1.7629      0     0
    3        0.09        0.35        30.8746       1.4740      0     0
    4        0.14        0.49        12.5996       0.4556      0     0
    5        0.14        0.64        7.3654       0.2002      0     0
    6        0.16        0.80        6.58178       0.0966      0     0
    7        0.17        0.97        7.74967       0.0399      0     0
    8        0.22        1.19        9.51378       0.0062      0     0
    9        0.22        1.42        9.99922       0.0002      0     0
   10        0.35        1.77        10.0105       0.0000      0     0
   11        0.23        2.00        10.0119       0.0000      0     0
   12        0.22        2.22        10.0121       0.0000      0     0
   13        0.11        2.33        10.0122       0.0000      0     0
   14        0.13        2.46        10.0122       0.0000      0     0
   15        0.11        2.57        10.0122       0.0000      0     0
   16        0.11        2.69        10.0122       0.0000      0     0
   17        0.00        2.69        10.0122       0.0000      0     0
