# SNOPT iteration timing history
# Iter    Time (s)    Total Time (s)    Objective  
    1        0.91        0.91        215.285     
    2        1.17        2.09        186.745     
    3        0.99        3.07        160.759     
    4        1.02        4.09        186.031     
    5        1.26        5.35        714.094     
    6        0.70        6.05        62.2908     
    7        1.41        7.46        171.769     
    8        0.61        8.07        15.5396     
    9        1.18        9.25        3.44397     
   10        1.16        10.41        -4.72297     
   11        1.14        11.54        -4.59149     
   12        0.59        12.13        -5.56879     
   13        1.17        13.30        -5.62295     
   14        1.15        14.45        -5.63857     
   15        1.16        15.61        -5.64069     
   16        1.11        16.72        -5.64074     
   17        1.19        17.91        -5.64074     
   18        1.19        19.11        -5.64074     
