# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.01        0.01        215.285       0.0000      0     0
    1        0.24        0.25        300.325       7.0470      0     0
    2        0.16        0.41        196.092       3.7630      0     0
    3        0.16        0.57        176.13       3.2034      0     0
    4        0.17        0.74        107.789       1.6016      0     0
    5        0.26        1.01        25.8835       0.5197      0     0
    6        0.31        1.32        -4.41348       0.2330      0     0
    7        0.27        1.59        -14.6249       0.1425      0     0
    8        0.56        2.15        -15.8891       0.0597      0     0
    9        0.46        2.61        -13.2854       0.0321      0     0
   10        0.46        3.07        -9.6098       0.0129      0     0
   11        0.67        3.74        -6.78313       0.0032      0     0
   12        0.66        4.41        -5.98155       0.0009      0     0
   13        0.67        5.08        -5.77376       0.0004      0     0
   14        0.66        5.74        -5.71556       0.0003      0     0
   15        0.66        6.40        -5.68084       0.0001      0     0
   16        0.67        7.07        -5.64939       0.0001      0     0
   17        0.66        7.73        -5.642       0.0000      0     0
   18        0.84        8.56        -5.64115       0.0000      0     0
   19        0.89        9.46        -5.6408       0.0000      0     0
   20        0.89        10.35        -5.64076       0.0000      0     0
   21        0.89        11.24        -5.64076       0.0000      0     0
   22        0.89        12.13        -5.64075       0.0000      0     0
   23        0.88        13.01        -5.64075       0.0000      0     0
   24        0.89        13.90        -5.64074       0.0000      0     0
   25        0.89        14.80        -5.64074       0.0000      0     0
   26        0.89        15.69        -5.64074       0.0000      0     0
    0        0.31        16.00        -5.64074       0.0000      0     0
    1        0.31        16.31        -5.64073       0.0000      0     0
    2        0.30        16.61        -5.64074       0.0000      0     0
    3        0.30        16.91        -5.64075       0.0000      0     0
    4        0.29        17.20        -5.64074       0.0000      0     0
    5        0.30        17.50        -5.64073       0.0000      0     0
    6        0.30        17.80        -5.64074       0.0000      0     0
    7        0.30        18.10        -5.64075       0.0000      0     0
    8        0.30        18.40        -5.64074       0.0000      0     0
    9        0.30        18.70        -5.64074       0.0000      0     0
   27        0.01        18.71        -5.64074       0.0000      0     0
