# Constructed_SVDA iteration timing history
# Iter    Time (s)    Total Time (s)    Objective    max(abs(-S*Lam))   negative S   postive Lam
    0        0.01        0.01        215.285       0.0000      0     0
    1        0.30        0.31        300.325       7.0470      0     0
    2        0.19        0.50        196.092       3.7630      0     0
    3        0.20        0.69        176.13       3.2034      0     0
    4        0.21        0.90        107.789       1.6016      0     0
    5        0.34        1.25        25.8835       0.5197      0     0
    6        0.42        1.67        -4.41348       0.2330      0     0
    7        0.35        2.02        -14.6249       0.1425      0     0
    8        0.74        2.76        -15.8891       0.0597      0     0
    9        0.60        3.36        -13.2854       0.0321      0     0
   10        0.61        3.97        -9.6098       0.0129      0     0
   11        0.87        4.84        -6.78313       0.0032      0     0
   12        0.88        5.73        -5.98155       0.0009      0     0
   13        0.88        6.61        -5.77376       0.0004      0     0
   14        0.88        7.50        -5.71556       0.0003      0     0
   15        0.88        8.38        -5.68084       0.0001      0     0
   16        0.87        9.25        -5.64939       0.0001      0     0
   17        0.88        10.14        -5.642       0.0000      0     0
   18        0.88        11.02        -5.64115       0.0000      0     0
   19        0.88        11.90        -5.6408       0.0000      0     0
   20        0.89        12.79        -5.64076       0.0000      0     0
   21        0.88        13.67        -5.64076       0.0000      0     0
   22        0.89        14.55        -5.64075       0.0000      0     0
   23        0.88        15.44        -5.64075       0.0000      0     0
   24        0.89        16.32        -5.64074       0.0000      0     0
   25        0.89        17.21        -5.64074       0.0000      0     0
   26        0.87        18.08        -5.64074       0.0000      0     0
    0        0.31        18.39        -5.64074       0.0000      0     0
    1        0.30        18.69        -5.64073       0.0000      0     0
    2        0.30        18.98        -5.64074       0.0000      0     0
    3        0.31        19.29        -5.64075       0.0000      0     0
    4        0.30        19.59        -5.64074       0.0000      0     0
    5        0.31        19.90        -5.64073       0.0000      0     0
    6        0.30        20.20        -5.64074       0.0000      0     0
    7        0.30        20.50        -5.64075       0.0000      0     0
    8        0.30        20.80        -5.64074       0.0000      0     0
    9        0.30        21.10        -5.64074       0.0000      0     0
   27        0.01        21.11        -5.64074       0.0000      0     0
