# Kona Param. Contn. convergence history (opt tol = 1.207826e-06 | feas tol = 2.006797e-05)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0         0         1      9.769e+01      9.769e+01     1.2078e+01     2.0068e+02     0.0000e+00     0.0000e+00     0.0000e+00     1.0000     

      1         0         8      2.726e+01      2.007e+04     1.0018e+03     2.0075e+02      7.486e+03     4.9827e+02     4.9684e+01     5.025997e-01          
      1         1        13      9.514e+01      3.918e+03     2.9694e+02     6.2164e+01      4.166e+03     9.5575e+01     1.6396e-02     5.025997e-01          

      2         0        25      1.476e+01      9.969e+02     1.0877e+02     2.2574e+01      4.767e+03     8.6537e+00     3.2618e+00     3.843146e-01          
      2         1        34     -8.808e+00      9.441e+02     9.5602e+01     2.4388e+01      4.789e+03     1.0384e-01     2.6001e-04     3.843146e-01          

      3         0        41     -5.419e+01      1.669e+02     5.0511e+01     7.1076e+00      3.394e+03     3.2080e+00     3.8240e+00     2.396348e-01          
      3         1        50     -1.007e+02      2.243e+02     5.2188e+01     1.0122e+01      3.360e+03     2.2750e-01     3.9245e-03     2.396348e-01          

      4         0        57     -1.702e+02     -4.763e+01     3.2631e+01     4.4352e+00      2.290e+03     9.4958e-01     9.1355e-01     1.596628e-01          
      4         1        68     -1.956e+02     -5.419e+01     3.2913e+01     5.1835e+00      2.294e+03     2.4193e-02     9.0786e-04     1.596628e-01          

      5         0        77     -2.808e+02     -2.341e+02     1.9762e+01     2.0359e+00      1.330e+03     8.6110e-01     5.3386e-01     9.675461e-02          
      5         1        88     -3.076e+02     -2.531e+02     1.9399e+01     2.4173e+00      1.336e+03     1.9104e-02     1.2599e-03     9.675461e-02          

      6         0        99     -4.166e+02     -4.113e+02     8.4410e+00     4.9550e-01      2.505e+02     1.6268e+00     5.3034e-01     3.540335e-02          
      6         1       112     -4.563e+02     -4.443e+02     7.2342e+00     6.6590e-01      2.511e+02     5.4716e-02     2.8980e-04     3.540335e-02          

      7         0       123     -5.147e+02     -5.110e+02     2.3114e+00     2.9887e-01     -3.871e+02     1.1998e+00     2.4153e-01     5.563551e-03          
      7         1       138     -5.248e+02     -5.178e+02     1.3325e+00     1.9690e-01     -3.906e+02     2.4834e-01     2.1603e-05     5.563551e-03          

      8         0       168     -5.277e+02     -5.213e+02     8.1482e-01     1.5822e-01     -4.373e+02     3.9404e-02     1.2415e-02     3.631344e-03          
      8         1       183     -5.275e+02     -5.212e+02     7.8928e-01     1.5146e-01     -4.373e+02     1.9172e-03     6.0596e-07     3.631344e-03          

      9         0       198     -5.279e+02     -5.222e+02     4.6549e-01     1.1377e-01     -4.752e+02     3.7381e-02     1.4659e-02     2.036952e-03          
      9         1       213     -5.274e+02     -5.219e+02     4.4539e-01     1.0555e-01     -4.751e+02     3.5186e-03     5.3592e-07     2.036952e-03          

     10         0       228     -5.260e+02     -5.219e+02     1.9308e-01     6.5228e-02     -5.037e+02     2.7128e-02     1.6148e-02     8.067195e-04          
     10         1       249     -5.252e+02     -5.216e+02     1.7703e-01     5.3691e-02     -5.036e+02     2.4397e-03     1.6412e-06     8.067195e-04          

     11         0       268     -5.225e+02     -5.214e+02     1.7842e-02     1.5909e-02     -5.204e+02     9.7625e-03     1.2656e-02     4.548727e-05          
     11         1       311     -5.216e+02     -5.213e+02     9.8888e-03     3.8462e-03     -5.203e+02     1.0087e-03     1.1026e-04     4.548727e-05          

     12         0       397     -5.213e+02     -5.213e+02     2.6781e-04     8.5934e-05     -5.213e+02     2.6781e-04     8.5934e-05     -6.776264e-21          
     12         1       440     -5.213e+02     -5.213e+02     1.1696e-04     4.0284e-05     -5.213e+02     1.1696e-04     4.0284e-05     -6.776264e-21          
     12         2       483     -5.213e+02     -5.213e+02     3.3947e-05     2.3873e-05     -5.213e+02     3.3947e-05     2.3873e-05     -6.776264e-21          
     12         3       526     -5.213e+02     -5.213e+02     3.1191e-05     5.1546e-06     -5.213e+02     3.1191e-05     5.1546e-06     -6.776264e-21          
     12         4       569     -5.213e+02     -5.213e+02     2.9046e-05     4.2219e-06     -5.213e+02     2.9046e-05     4.2219e-06     -6.776264e-21          
     12         5       612     -5.213e+02     -5.213e+02     2.7475e-05     4.3918e-06     -5.213e+02     2.7475e-05     4.3918e-06     -6.776264e-21          
     12         6       655     -5.213e+02     -5.213e+02     2.7452e-05     4.2877e-06     -5.213e+02     2.7452e-05     4.2877e-06     -6.776264e-21          
     12         7       698     -5.213e+02     -5.213e+02     2.7234e-05     4.5240e-06     -5.213e+02     2.7234e-05     4.5240e-06     -6.776264e-21          
     12         8       741     -5.213e+02     -5.213e+02     2.7056e-05     3.9295e-06     -5.213e+02     2.7056e-05     3.9295e-06     -6.776264e-21          
     12         9       784     -5.213e+02     -5.213e+02     2.6740e-05     3.8084e-06     -5.213e+02     2.6740e-05     3.8084e-06     -6.776264e-21          
