# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        0.94        0.94        264.532      0.509490     0     0
    0        1.49        2.43        264.286      0.507844     0     0
    0        1.51        3.94        263.789      0.501203     0     0
    0        1.53        5.47        262.943      0.480045     0     0
    0        1.53        6.99        262.198      0.471459     0     0
    0        1.53        8.52        261.58      0.467890     0     0
    0        1.46        9.98        261.058      0.464282     0     0
    0        1.50        11.48        260.599      0.460616     0     0
    0        1.52        13.00        260.18      0.456850     0     0
    0        1.52        14.52        259.786      0.452937     0     0
    0        1.53        16.05        259.405      0.448827     0     0
    0        1.45        17.50        259.027      0.444465     0     0
    0        1.48        18.98        258.645      0.439784     0     0
    0        1.52        20.50        258.249      0.434707     0     0
    0        1.52        22.03        257.829      0.429139     0     0
    0        1.52        23.55        257.373      0.422960     0     0
    0        1.45        25.00        256.865      0.416017     0     0
    0        1.46        26.46        256.28      0.408116     0     0
    0        1.50        27.96        255.581      0.399001     0     0
    0        1.53        29.49        254.707      0.388351     0   128
    0        1.52        31.01        253.546      0.375784     0   128
    0        1.52        32.53        251.887      0.361008     0   128
    0        1.44        33.97        249.337      0.344421     0   128
    0        1.48        35.45        245.346      0.328318     0   128
    0        1.52        36.97        239.362      0.315607     0   128
    0        1.52        38.49        229.745      0.306219     0   128
    0        1.52        40.01        217.756      0.300585     0   128
    0        1.46        41.47        204.79      0.296601     0   128
    0        1.49        42.96        190.382      0.292660     0   128
    0        1.55        44.51        174.587      0.288026     0   128
    0        1.52        46.04        157.293      0.282022     0   128
    0        1.52        47.55        138.363      0.273815     0   128
    0        1.43        48.99        117.517      0.262029     0   128
    0        1.67        50.66        94.1328      0.243839     0   128
    0        2.13        52.79        66.4811      0.211289     0   128
    0        7.75        60.53        25.9581      0.117272     0   128
    1        6.30        66.84        26.023      0.112173     0   128
    0        12.96        79.80        18.4033      0.072827     0   128
    1        6.64        86.44        18.4795      0.072827     0   128
    0        13.18        99.62        17.2109      0.064322     0   128
    0        13.38        113.00        16.4548      0.058854     0   128
    0        13.44        126.44        15.7989      0.053838     0   128
    0        13.17        139.61        15.2202      0.049175     0   128
    0        13.39        153.00        14.7044      0.044825     0   128
    0        13.39        166.39        14.2424      0.040762     0   128
    0        13.19        179.58        13.8229      0.036939     0   128
    0        13.39        192.97        13.4384      0.033325     0   128
    0        13.20        206.17        13.0824      0.029894     0   128
    0        13.30        219.47        12.7503      0.026635     0   128
    0        13.15        232.62        12.441      0.023554     0   128
    0        13.55        246.17        12.1544      0.020672     0   128
    0        13.68        259.85        11.8923      0.018019     0   128
    0        13.54        273.38        11.658      0.015639     0   128
    0        13.52        286.90        11.4248      0.013260     0   128
    0        13.50        300.41        11.1931      0.010877     0   128
    0        13.65        314.06        10.9635      0.008491     0   128
    0        13.59        327.65        10.7288      0.006100     0   128
    0        13.57        341.22        10.4865      0.003739     0   128
    0        13.55        354.77        10.2248      0.001684     0   128
    0        13.55        368.32        10.1568      0.009866    51    15
    1        6.77        375.09        10.1098      0.002286    35    23
    2        6.75        381.84        10.0719      0.000629    17    15
    3        6.98        388.83        10.0672      0.000138    17     9
    4        6.72        395.55        10.0653      0.000021    13     6
    5        6.87        402.42        10.0648      0.000001    12     2
    6        6.81        409.23        10.0648      0.000000    11     2
    7        6.35        415.58        10.0648      0.000000    11     2
