# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        0.63        0.63        264.532      0.509490     0     0
    0        0.67        1.29        264.286      0.507844     0     0
    0        0.66        1.95        263.789      0.501203     0     0
    0        0.77        2.72        262.943      0.480044     0     0
    0        0.76        3.48        262.198      0.471459     0     0
    0        0.79        4.27        261.58      0.467890     0     0
    0        0.77        5.04        261.058      0.464282     0     0
    0        0.77        5.81        260.599      0.460616     0     0
    0        0.76        6.57        260.18      0.456850     0     0
    0        0.77        7.34        259.786      0.452937     0     0
    0        0.77        8.11        259.405      0.448827     0     0
    0        0.78        8.89        259.027      0.444465     0     0
    0        0.85        9.74        258.645      0.439784     0     0
    0        0.83        10.58        258.249      0.434707     0     0
    0        0.80        11.38        257.829      0.429139     0     0
    0        0.79        12.17        257.373      0.422959     0     0
    0        0.80        12.98        256.865      0.416017     0     0
    0        0.82        13.79        256.28      0.408115     0     0
    0        0.78        14.57        255.581      0.399001     0     0
    0        0.81        15.38        254.707      0.388350     0   128
    0        0.81        16.19        253.546      0.375783     0   128
    0        0.82        17.02        251.887      0.361006     0   128
    0        0.91        17.93        249.337      0.344420     0   128
    0        1.01        18.94        245.345      0.328317     0   128
    0        1.00        19.94        239.362      0.315607     0   128
    0        1.16        21.09        229.744      0.306219     0   128
    0        1.18        22.27        217.75      0.300583     0   128
    0        1.17        23.44        204.78      0.296599     0   128
    0        1.20        24.64        190.366      0.292655     0   128
    0        1.24        25.88        174.562      0.288017     0   128
    0        1.40        27.28        157.254      0.282007     0   128
    0        1.41        28.69        138.305      0.273785     0   128
    0        1.46        30.16        117.421      0.261962     0   128
    0        1.67        31.83        93.9544      0.243671     0   128
    0        1.90        33.72        66.211      0.210880     0   128
    0        1.79        35.52        20.6479      0.119205     0   251
    1        0.93        36.45        20.0966      0.120451     0   140
    2        0.99        37.44        20.4409      0.131028     0   237
    0        1.75        39.19        16.2487      0.058896     0   125
    1        0.93        40.11        15.5027      0.051349     0   126
    2        0.92        41.04        15.4558      0.046800     0    94
    0        1.73        42.77        15.0198      0.045517     0   103
    1        0.91        43.68        15.0315      0.043130     0    89
    2        0.91        44.59        14.6598      0.041769     0   105
    3        0.91        45.50        14.6975      0.040201     0    94
    4        0.96        46.46        14.3522      0.038410     0    95
    5        1.04        47.50        14.4232      0.037827     0   100
    6        1.00        48.49        14.0878      0.035432     0    73
    7        0.95        49.44        14.1881      0.035695     0   101
    8        0.93        50.37        13.7894      0.032351     0    73
    9        0.93        51.30        13.891      0.032929     0    88
