# Kona Param. Contn. convergence history (opt tol = 1.193243e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0     -----        24      2.647e+02      2.647e+02     1.1932e+00     0.0000e+00     ----------     ----------     ----------     1.0000     

      1         0        43      2.639e+02      2.639e+02     1.1932e+00     8.6713e-01      1.357e+02     3.1507e-01     4.4558e-01     0.4861468     
      1         1       720      2.635e+02      2.636e+02     1.3868e+00     2.0367e-01      1.360e+02     1.9443e-03     4.9595e-07     0.4861468     

      2         0      1397      2.635e+02      2.635e+02     1.3925e+00     1.9733e-01      1.386e+02     2.0634e-03     4.3910e-05     0.4760632     
      2         1      2074      2.635e+02      2.635e+02     1.3923e+00     1.9740e-01      1.386e+02     6.5242e-09     2.3673e-11     0.4760632     

      3         0      2751      2.634e+02      2.634e+02     1.4028e+00     1.8532e-01      1.438e+02     2.8079e-03     1.6473e-04     0.4566584     
      3         1      3428      2.634e+02      2.634e+02     1.4022e+00     1.8545e-01      1.438e+02     7.5016e-09     6.4311e-11     0.4566584     

      4         0      4105      2.632e+02      2.633e+02     1.4198e+00     1.6357e-01      1.533e+02     1.0238e-02     5.7388e-04     0.4207254     
      4         1      4782      2.632e+02      2.633e+02     1.4180e+00     1.6411e-01      1.533e+02     9.6676e-08     9.0494e-10     0.4207254     

      5         0      5459      2.629e+02      2.629e+02     1.4427e+00     1.2849e-01      1.696e+02     3.4355e-02     1.6971e-03     0.3590794     
      5         1      6136      2.628e+02      2.628e+02     1.4383e+00     1.3034e-01      1.696e+02     9.9969e-07     1.5658e-08     0.3590794     

      6         0      6814      2.621e+02      2.621e+02     1.4632e+00     8.3239e-02      1.936e+02     9.9209e-02     3.5625e-03     0.2679506     
      6         1      7492      2.619e+02      2.619e+02     1.4566e+00     8.7356e-02      1.938e+02     6.6728e-06     2.8666e-07     0.2679506     

      7         0      8170      2.606e+02      2.607e+02     1.4692e+00     5.0213e-02      2.165e+02     1.5694e-01     2.8707e-03     0.1811587     
      7         1      8848      2.601e+02      2.601e+02     1.4656e+00     5.3483e-02      2.169e+02     1.0211e-05     1.8898e-06     0.1811587     

      8         0      9526      2.587e+02      2.587e+02     1.4685e+00     3.8105e-02      2.281e+02     8.4613e-02     6.2139e-04     0.1378077     
      8         1     10204      2.583e+02      2.583e+02     1.4679e+00     3.8801e-02      2.285e+02     2.6595e-06     1.0515e-06     0.1378077     

      9         0     10882      2.566e+02      2.566e+02     1.4691e+00     2.8399e-02      2.367e+02     8.0360e-02     3.1886e-04     0.1056150     
      9         1     11560      2.561e+02      2.561e+02     1.4688e+00     2.8748e-02      2.372e+02     4.1017e-06     1.7394e-06     0.1056150     

     10         0     12238      2.541e+02      2.541e+02     1.4691e+00     2.2188e-02      2.426e+02     6.2316e-02     1.4169e-04     0.0838633     
