# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        2.54        2.54        264.654      0.000000     0     0
    1        99.19        101.73        263.533      0.016767     0   2048
    2        92.74        194.48        263.49      0.016861     0   2048
    3        92.11        286.58        263.403      0.017114     0   2048
    4        92.10        378.68        263.218      0.017507     0   2048
    5        92.47        471.16        262.813      0.018000     0   2048
    6        92.19        563.35        261.864      0.018435     0   2048
    7        92.06        655.41        260.06      0.018645     0   2048
    8        97.36        752.77        258.305      0.018700     0   2048
    9        103.26        856.03        256.069      0.018724     0   2048
   10        98.65        954.68        253.587      0.018731     0   2048
   11        98.06        1052.74        250.758      0.018730     0   2048
   12        96.92        1149.65        247.613      0.018723     0   2048
   13        95.45        1245.11        244.14      0.018712     0   2048
   14        91.61        1336.71        240.338      0.018696     0   2048
   15        95.73        1432.45        236.205      0.018675     0   2048
   16        95.18        1527.63        231.739      0.018648     0   2048
   17        91.71        1619.34        226.939      0.018616     0   2048
   18        91.71        1711.04        221.801      0.018577     0   2048
   19        92.30        1803.35        216.324      0.018530     0   2048
   20        92.10        1895.45        210.505      0.018475     0   2048
   21        91.84        1987.29        204.34      0.018408     0   2048
   22        93.50        2080.79        197.824      0.018330     0   2048
   23        94.33        2175.12        190.953      0.018238     0   2048
   24        94.97        2270.10        183.719      0.018129     0   2048
   25        98.60        2368.69        176.111      0.018001     0   2048
   26        95.85        2464.54        168.118      0.017851     0   2048
   27        93.94        2558.49        159.721      0.017673     0   2048
   28        98.39        2656.88        150.895      0.017463     0   2048
   29        98.24        2755.12        141.605      0.017211     0   2048
   30        99.52        2854.64        131.798      0.016907     0   2048
   31        98.26        2952.90        121.391      0.016536     0   2048
   32        106.52        3059.42        110.253      0.016071     0   2048
   33        255.81        3315.23        98.1481      0.015470     0   2048
   34        259.26        3574.49        84.6059      0.014645     0   2048
   35        265.44        3839.93        68.4357      0.013373     0   2048
   36        278.00        4117.93        44.9289      0.010631     0   2048
   37        462.40        4580.33        29.1772      0.007628     0   2048
   38        478.11        5058.43        22.7731      0.005815     0   2048
   39        499.49        5557.92        18.074      0.004073     0   2048
   40        525.51        6083.43        14.8705      0.002594     0   2048
   41        563.74        6647.17        13.1413      0.001682     0   2048
   42        592.13        7239.30        12.1294      0.001110     0   2048
   43        619.47        7858.77        11.4097      0.000681     0   2048
   44        644.58        8503.36        11.0103      0.000424     0   2048
   45        669.98        9173.34        10.7712      0.000260     0   2046
   46        685.33        9858.67        10.6421      0.000169     0   2043
   47        719.90        10578.57        10.5365      0.000095     0     0
   48        757.72        11336.29        10.484      0.000058     0     0
   49        771.46        12107.75        10.4498      0.000034     0     0
   50        522.06        12629.81        10.4304      0.000020     0     0
   51        531.68        13161.49        10.4173      0.000012     0     0
   52        544.21        13705.70        10.4086      0.000006     0     0
   53        565.33        14271.03        10.4053      0.000004     0     0
