# Kona Param. Contn. convergence history (opt tol = 1.193243e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0     -----        24      2.647e+02      2.647e+02     1.1932e+00     0.0000e+00     ----------     ----------     ----------     1.0000     

      1         0        43      2.645e+02      2.645e+02     1.1932e+00     2.1678e-01      3.399e+01     1.9692e-02     2.7849e-02     0.8715367     
      1         1       399      2.645e+02      2.645e+02     1.1590e+00     2.1611e-01      3.399e+01     1.4862e-06     3.0999e-10     0.8715367     

      2         0       755      2.644e+02      2.644e+02     1.1524e+00     2.4761e-01      3.984e+01     1.5171e-03     9.3929e-04     0.8494085     
      2         1      1111      2.644e+02      2.644e+02     1.1520e+00     2.4554e-01      3.984e+01     4.1621e-09     4.1376e-13     0.8494085     

      3         0      1467      2.644e+02      2.644e+02     1.1486e+00     2.6698e-01      4.444e+01     1.0946e-03     5.4261e-04     0.8319985     
      3         1      1822      2.644e+02      2.644e+02     1.1485e+00     2.6552e-01      4.444e+01     1.5645e-09     7.5900e-12     0.8319985     

      4         0      2179      2.644e+02      2.644e+02     1.1473e+00     2.8436e-01      4.913e+01     1.2562e-03     5.2294e-04     0.8142434     
      4         1      2535      2.644e+02      2.644e+02     1.1474e+00     2.8273e-01      4.914e+01     1.4727e-09     9.2518e-12     0.8142434     

      5         0      2892      2.643e+02      2.643e+02     1.1491e+00     2.9898e-01      5.404e+01     1.4871e-03     5.1659e-04     0.7957047     
      5         1      3248      2.643e+02      2.643e+02     1.1492e+00     2.9716e-01      5.404e+01     1.2628e-09     1.2895e-11     0.7957047     

      6         0      3605      2.643e+02      2.643e+02     1.1548e+00     3.1074e-01      5.932e+01     1.8505e-03     5.2852e-04     0.7757239     
      6         1      3962      2.643e+02      2.643e+02     1.1548e+00     3.0864e-01      5.932e+01     8.2382e-10     7.4731e-13     0.7757239     

      7         0      4319      2.642e+02      2.643e+02     1.1656e+00     3.1910e-01      6.519e+01     2.4241e-03     5.5321e-04     0.7535010     
      7         1      4676      2.642e+02      2.643e+02     1.1656e+00     3.1663e-01      6.520e+01     1.1564e-09     1.4552e-12     0.7535010     

      8         0      5033      2.642e+02      2.642e+02     1.1833e+00     3.2305e-01      7.195e+01     3.3596e-03     5.8241e-04     0.7279424     
      8         1      5390      2.642e+02      2.642e+02     1.1829e+00     3.2009e-01      7.195e+01     5.3543e-09     3.3431e-12     0.7279424     

      9         0      5747      2.641e+02      2.642e+02     1.2099e+00     3.2084e-01      8.002e+01     4.9596e-03     5.9409e-04     0.6974516     
      9         1      6104      2.641e+02      2.642e+02     1.2087e+00     3.1729e-01      8.002e+01     1.8243e-08     9.5951e-12     0.6974516     

     10         0      6461      2.641e+02      2.641e+02     1.2477e+00     3.0974e-01      9.002e+01     7.8464e-03     5.2614e-04     0.6596259     
     10         1      6818      2.641e+02      2.641e+02     1.2450e+00     3.0560e-01      9.002e+01     5.9283e-08     3.6048e-11     0.6596259     

     11         0      7175      2.639e+02      2.640e+02     1.2978e+00     2.8591e-01      1.029e+02     1.3257e-02     2.2354e-04     0.6110195     
     11         1      7532      2.639e+02      2.640e+02     1.2921e+00     2.8163e-01      1.029e+02     1.9846e-07     1.8045e-10     0.6110195     

     12         0      7889      2.638e+02      2.638e+02     1.3558e+00     2.4612e-01      1.196e+02     2.3077e-02     6.7647e-04     0.5479371     
     12         1      8246      2.638e+02      2.638e+02     1.3458e+00     2.4314e-01      1.196e+02     6.6143e-07     1.1012e-09     0.5479371     

     13         0      8603      2.635e+02      2.636e+02     1.4084e+00     1.9333e-01      1.402e+02     3.8305e-02     2.1672e-03     0.4698892     
     13         1      8960      2.635e+02      2.635e+02     1.3956e+00     1.9357e-01      1.403e+02     1.8563e-06     6.6704e-09     0.4698892     

     14         0      9317      2.631e+02      2.631e+02     1.4434e+00     1.3857e-01      1.638e+02     6.0083e-02     3.4808e-03     0.3809689     
     14         1      9674      2.630e+02      2.630e+02     1.4319e+00     1.4190e-01      1.638e+02     3.9622e-06     3.7154e-08     0.3809689     

     15         0     10032      2.623e+02      2.623e+02     1.4626e+00     8.9420e-02      1.895e+02     1.0177e-01     4.1474e-03     0.2835969     
     15         1     10390      2.621e+02      2.621e+02     1.4543e+00     9.4166e-02      1.897e+02     8.0263e-06     2.5752e-07     0.2835969     

     16         0     10748      2.609e+02      2.609e+02     1.4696e+00     5.2310e-02      2.144e+02     1.6697e-01     3.4902e-03     0.1890088     
     16         1     11106      2.603e+02      2.603e+02     1.4651e+00     5.6292e-02      2.148e+02     1.2841e-05     1.9278e-06     0.1890088     

     17         0     11464      2.590e+02      2.590e+02     1.4684e+00     3.9835e-02      2.267e+02     8.6110e-02     6.9712e-04     0.1433979     
     17         1     11822      2.586e+02      2.586e+02     1.4677e+00     4.0618e-02      2.270e+02     2.5886e-06     9.9449e-07     0.1433979     

     18         0     12180      2.569e+02      2.569e+02     1.4691e+00     2.9471e-02      2.357e+02     8.3243e-02     3.6061e-04     0.1093105     
