# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        0.46        0.46        264.654      0.000000     0     0
    0        4.57        5.03        264.183      0.003595     0   512
    1        4.30        9.33        264.183      0.003595     0   512
    0        4.33        13.66        264.028      0.006249     0   512
    2        3.98        17.64        264.028      0.006249     0   512
    0        4.43        22.07        263.906      0.008758     0   512
    3        4.13        26.20        263.906      0.008758     0   512
    0        4.37        30.57        263.793      0.011390     0   512
    4        4.18        34.75        263.793      0.011390     0   512
    0        4.18        38.94        263.683      0.014181     0   512
    5        4.18        43.11        263.683      0.014181     0   512
    0        4.17        47.29        263.571      0.017174     0   512
    6        4.02        51.30        263.571      0.017174     0   512
    0        4.21        55.51        263.455      0.020421     0   512
    7        4.52        60.02        263.455      0.020421     0   512
    0        4.21        64.24        263.33      0.023985     0   512
    8        4.02        68.26        263.33      0.023985     0   512
    0        4.19        72.45        263.191      0.027942     0   512
    9        4.02        76.47        263.191      0.027942     0   512
    0        4.25        80.71        263.031      0.032387     0   512
   10        4.09        84.80        263.031      0.032387     0   512
    0        4.33        89.13        262.839      0.037428     0   512
   11        3.98        93.10        262.839      0.037428     0   512
    0        4.22        97.32        262.592      0.043178     0   512
   12        4.08        101.41        262.592      0.043178     0   512
    0        4.13        105.53        262.251      0.049709     0   512
   13        3.99        109.52        262.251      0.049709     0   512
    0        4.20        113.72        261.729      0.056898     0   512
   14        4.04        117.76        261.729      0.056898     0   512
    0        4.34        122.10        260.822      0.064066     0   512
   15        4.09        126.19        260.822      0.064066     0   512
    0        4.25        130.43        259.09      0.069780     0   512
   16        4.21        134.64        259.09      0.069780     0   512
    0        4.39        139.03        255.404      0.073141     0   512
   17        4.14        143.18        255.404      0.073141     0   512
    0        4.19        147.37        251.322      0.074097     0   512
   18        4.00        151.37        251.322      0.074097     0   512
    0        4.24        155.61        246.539      0.074448     0   512
   19        4.06        159.67        246.539      0.074448     0   512
    0        4.32        163.99        241.15      0.074551     0   512
   20        3.95        167.94        241.15      0.074551     0   512
    0        4.20        172.14        235.104      0.074526     0   512
   21        4.02        176.16        235.104      0.074526     0   512
    0        4.28        180.44        228.407      0.074414     0   512
   22        4.09        184.53        228.407      0.074414     0   512
    0        4.34        188.87        221.046      0.074226     0   512
   23        3.97        192.84        221.046      0.074226     0   512
    0        4.22        197.06        213.017      0.073960     0   512
   24        4.04        201.10        213.017      0.073960     0   512
    0        4.31        205.42        204.309      0.073608     0   512
   25        4.15        209.56        204.309      0.073608     0   512
    0        4.38        213.94        194.91      0.073154     0   512
   26        3.96        217.90        194.91      0.073154     0   512
    0        4.22        222.11        184.807      0.072577     0   512
   27        4.85        226.96        184.807      0.072577     0   512
    0        5.05        232.01        173.975      0.071848     0   512
   28        4.83        236.83        173.975      0.071848     0   512
    0        5.07        241.90        162.383      0.070928     0   512
   29        4.85        246.76        162.383      0.070928     0   512
    0        5.07        251.83        149.979      0.069760     0   512
   30        4.84        256.67        149.979      0.069760     0   512
    0        5.07        261.74        136.682      0.068261     0   512
   31        4.84        266.57        136.682      0.068261     0   512
    0        5.52        272.09        122.353      0.066298     0   512
   32        4.72        276.82        122.353      0.066298     0   512
    0        5.43        282.25        106.738      0.063642     0   512
   33        4.73        286.98        106.738      0.063642     0   512
    0        4.88        291.86        89.3065      0.059823     0   512
   34        4.74        296.59        89.3065      0.059823     0   512
    0        4.86        301.45        68.6946      0.053608     0   512
   35        4.77        306.22        68.6946      0.053608     0   512
    0        4.91        311.13        39.0969      0.038846     0   512
   36        5.36        316.48        39.0969      0.038846     0   512
    0        7.07        323.55        24.48      0.025780     0   512
    1        6.18        329.73        24.5875      0.025743     0   512
   37        7.62        337.35        24.5875      0.025743     0   512
    0        11.50        348.85        21.0654      0.021229     0   512
    1        11.96        360.82        21.0735      0.021229     0   512
   38        11.84        372.66        21.0735      0.021229     0   512
    0        11.62        384.28        19.6167      0.019074     0   512
    1        11.90        396.18        19.6122      0.019074     0   512
   39        11.80        407.98        19.6122      0.019074     0   512
    0        11.63        419.61        18.2499      0.016884     0   512
    1        12.06        431.67        18.2453      0.016884     0   512
   40        12.02        443.69        18.2453      0.016884     0   512
    0        11.77        455.46        16.9699      0.014660     0   512
    1        12.15        467.60        16.9654      0.014660     0   512
   41        12.03        479.63        16.9654      0.014660     0   512
    0        11.80        491.44        15.7688      0.012405     0   512
    1        12.30        503.74        15.7647      0.012405     0   512
   42        12.02        515.76        15.7647      0.012405     0   512
    0        11.85        527.60        14.6383      0.010120     0   512
    1        12.34        539.94        14.6349      0.010120     0   512
   43        12.71        552.65        14.6349      0.010120     0   512
    0        12.02        564.67        13.5701      0.007809     0   512
    1        13.36        578.04        13.5667      0.007809     0   512
   44        13.64        591.68        13.5667      0.007809     0   512
    0        13.94        605.61        12.5501      0.005471     0   512
    1        13.48        619.09        12.5472      0.005471     0   512
   45        13.28        632.37        12.5472      0.005471     0   512
    0        13.47        645.84        11.6061      0.003215     0   512
    1        14.22        660.06        11.6055      0.003215     0   512
   46        14.03        674.09        11.6055      0.003215     0   512
    0        14.18        688.27        11.1126      0.001992     0   512
   47        15.30        703.57        11.1126      0.001992     0   512
    0        14.84        718.42        10.8069      0.001240     0   512
    1        15.75        734.17        10.8061      0.001238     0   512
   48        16.38        750.55        10.8061      0.001238     0   512
    0        16.45        767.00        10.6075      0.000766     0   512
    1        17.60        784.60        10.607      0.000766     0   512
   49        19.32        803.91        10.607      0.000766     0   512
    0        17.81        821.73        10.4519      0.000431     0   512
    1        17.57        839.30        10.4518      0.000423     0   512
   50        19.09        858.39        10.4518      0.000423     0   512
    0        19.53        877.92        10.3614      0.000236     0   512
    1        19.58        897.50        10.3613      0.000235     0   512
   51        20.48        917.98        10.3613      0.000235     0   512
    0        20.23        938.22        10.3165      0.000146     0   510
   52        21.72        959.94        10.3165      0.000146     0   510
    0        22.66        982.60        10.289      0.000091     0     0
   53        22.51        1005.11        10.289      0.000091     0     0
    0        22.75        1027.86        10.2691      0.000050     0     0
   54        22.60        1050.46        10.2691      0.000050     0     0
    0        23.04        1073.50        10.2559      0.000026     0     0
   55        22.92        1096.42        10.2559      0.000026     0     0
    0        23.27        1119.69        10.2487      0.000010     0     0
   56        23.51        1143.20        10.2487      0.000010     0     0
    0        23.48        1166.68        10.2453      0.000004     0     0
    1        23.42        1190.10        10.2445      0.000002     0     0
    2        23.49        1213.59        10.2446      0.000002     0     0
    3        23.24        1236.83        10.2446      0.000002     0     0
   57        0.55        1237.37        10.2446      0.000002     0     0
