# Kona Param. Contn. convergence history (opt tol = 4.772971e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0     -----        18      2.647e+02      2.647e+02     4.7730e+00     0.0000e+00     ----------     ----------     ----------     1.0000     

      1         0        33      2.644e+02      2.644e+02     4.7730e+00     6.9208e-02      2.712e+00     5.0176e-04     7.0959e-04     0.9897470     
      1         1       100      2.644e+02      2.644e+02     4.7719e+00     6.9873e-02      2.712e+00     1.7224e-11     7.0094e-14     0.9897470     

      2         0       159      2.640e+02      2.640e+02     4.7679e+00     2.0812e-01      8.025e+00     1.9096e-03     2.8360e-03     0.9696380     
      2         1       226      2.639e+02      2.639e+02     4.7638e+00     2.0993e-01      8.025e+00     4.3073e-09     2.7395e-12     0.9696380     

      3         0       294      2.630e+02      2.630e+02     4.7408e+00     4.8230e-01      1.823e+01     7.4698e-03     1.1211e-02     0.9309178     
      3         1       362      2.630e+02      2.630e+02     4.7257e+00     4.8244e-01      1.823e+01     4.2326e-07     6.5464e-11     0.9309178     

      4         0       431      2.612e+02      2.613e+02     4.6471e+00     9.8176e-01      3.705e+01     3.6331e-02     4.1415e-02     0.8590624     
      4         1       500      2.611e+02      2.612e+02     4.6191e+00     9.3291e-01      3.705e+01     2.4120e-05     7.4472e-10     0.8590624     

      5         0       569      2.595e+02      2.598e+02     4.5912e+00     1.2462e+00      5.252e+01     4.7840e-02     2.6114e-02     0.7996878     
      5         1       638      2.594e+02      2.598e+02     4.5941e+00     1.1775e+00      5.253e+01     1.4989e-05     2.3210e-10     0.7996878     

      6         0       707      2.578e+02      2.584e+02     4.6934e+00     1.3471e+00      6.780e+01     6.3135e-02     1.8814e-02     0.7409587     
      6         1       776      2.577e+02      2.583e+02     4.6939e+00     1.2763e+00      6.784e+01     2.0775e-06     8.2280e-10     0.7409587     

      7         0       845      2.552e+02      2.560e+02     5.0446e+00     1.3232e+00      9.017e+01     1.5449e-01     2.2608e-02     0.6551665     
      7         1       914      2.549e+02      2.557e+02     4.9970e+00     1.2156e+00      9.031e+01     8.5477e-05     2.4229e-08     0.6551665     

      8         0       984      2.504e+02      2.513e+02     5.6117e+00     1.0030e+00      1.233e+02     3.5846e-01     7.2416e-03     0.5287716     
      8         1      1054      2.493e+02      2.501e+02     5.4343e+00     9.2652e-01      1.239e+02     7.0022e-04     7.8565e-07     0.5287716     

      9         0      1124      2.425e+02      2.430e+02     5.7943e+00     6.1300e-01      1.560e+02     3.9530e-01     2.4090e-02     0.4049521     
      9         1      1194      2.403e+02      2.409e+02     5.6787e+00     6.2757e-01      1.572e+02     8.4013e-04     4.7965e-06     0.4049521     

     10         0      1264      2.321e+02      2.325e+02     5.7857e+00     4.3965e-01      1.790e+02     2.7305e-01     1.2789e-02     0.3197298     
     10         1      1333      2.299e+02      2.303e+02     5.7546e+00     4.5409e-01      1.805e+02     2.8218e-04     6.6328e-06     0.3197298     

     11         0      1402      2.205e+02      2.208e+02     5.7804e+00     3.4057e-01      1.957e+02     2.1378e-01     6.1153e-03     0.2583450     
     11         1      1471      2.183e+02      2.186e+02     5.7682e+00     3.4796e-01      1.974e+02     2.6202e-04     8.9431e-06     0.2583450     

     12         0      1540      2.075e+02      2.078e+02     5.7563e+00     2.7470e-01      2.083e+02     1.7558e-01     3.2875e-03     0.2123994     
     12         1      1609      2.053e+02      2.056e+02     5.7490e+00     2.7865e-01      2.101e+02     3.2921e-04     1.2249e-05     0.2123994     

     13         0      1678      1.932e+02      1.935e+02     5.7107e+00     2.2872e-01      2.178e+02     1.4825e-01     2.1872e-03     0.1768421     
     13         1      1748      1.910e+02      1.912e+02     5.7041e+00     2.3109e-01      2.197e+02     4.1501e-04     1.7354e-05     0.1768421     

     14         0      1818      1.775e+02      1.777e+02     5.6399e+00     1.9577e-01      2.248e+02     1.2708e-01     1.9220e-03     0.1485483     
     14         1      1888      1.753e+02      1.755e+02     5.6324e+00     1.9738e-01      2.268e+02     5.2382e-04     2.5481e-05     0.1485483     

     15         0      1958      1.603e+02      1.605e+02     5.5369e+00     1.7177e-01      2.296e+02     1.1027e-01     2.2180e-03     0.1254058     
     15         1      2028      1.581e+02      1.583e+02     5.5275e+00     1.7301e-01      2.315e+02     6.7089e-04     3.9206e-05     0.1254058     

     16         0      2098      1.414e+02      1.416e+02     5.3890e+00     1.5418e-01      2.319e+02     9.7082e-02     3.3129e-03     0.1058849     
     16         1      2168      1.392e+02      1.394e+02     5.3764e+00     1.5521e-01      2.337e+02     8.7813e-04     6.3943e-05     0.1058849     

     17         0      2238      1.206e+02      1.208e+02     5.1724e+00     1.4136e-01      2.308e+02     8.8197e-02     6.4330e-03     0.0887401     
     17         1      2308      1.185e+02      1.187e+02     5.1548e+00     1.4215e-01      2.324e+02     1.1752e-03     1.1143e-04     0.0887401     

     18         0      2379      9.707e+01      9.728e+01     4.8364e+00     1.3281e-01      2.241e+02     8.8751e-02     1.6839e-02     0.0726890     
     18         1      2468      9.526e+01      9.549e+01     4.8103e+00     1.3227e-01      2.254e+02     1.5621e-03     1.9978e-04     0.0726890     

     19         0      2548      6.880e+01      6.905e+01     4.2377e+00     1.4597e-01      2.052e+02     1.2686e-01     7.3126e-02     0.0555850     
     19         1      2637      6.793e+01      6.818e+01     4.1961e+00     1.2284e-01      2.056e+02     1.4341e-03     1.7973e-04     0.0555850     

     20         0      2727      2.274e+01      2.319e+01     2.4631e+00     2.7337e+00      1.281e+02     5.1668e-01     2.6554e+00     0.0274649     
     20         1      3048      2.909e+01      2.941e+01     2.4356e+00     6.9012e-01      1.287e+02     3.1103e-02     6.6385e-01     0.0274649     
     20         2      3362      2.877e+01      2.906e+01     2.4167e+00     8.9539e-02      1.287e+02     5.6727e-03     1.2054e-03     0.0274649     

     21         0      3705      1.499e+01      1.566e+01     1.2157e+00     2.7397e+00      7.499e+01     6.7940e-01     2.6969e+00     0.0145184     
     21         1      4063      1.734e+01      1.766e+01     1.3042e+00     5.5940e-01      7.587e+01     4.7966e-02     5.4529e-01     0.0145184     
     21         2      4410      1.765e+01      1.784e+01     1.3224e+00     5.8920e-02      7.591e+01     4.5640e-03     2.4761e-02     0.0145184     

     22         0      4782      1.319e+01      1.345e+01     6.4225e-01     1.0922e+00      4.584e+01     3.5807e-01     1.0823e+00     0.0077879     
     22         1      5175      1.376e+01      1.387e+01     7.1681e-01     9.9872e-02      4.612e+01     2.0156e-02     9.3740e-02     0.0077879     

     23         0      5576      1.211e+01      1.222e+01     3.7243e-01     4.3852e-01      3.109e+01     1.3123e-01     4.3568e-01     0.0044881     
     23         1      5991      1.221e+01      1.226e+01     4.1525e-01     2.3856e-02      3.112e+01     9.1416e-03     1.8189e-02     0.0044881     

     24         0      6428      1.127e+01      1.131e+01     2.0975e-01     2.3226e-01      2.177e+01     8.1748e-02     2.3136e-01     0.0024680     
     24         1      6868      1.128e+01      1.130e+01     2.3258e-01     9.1471e-03      2.176e+01     1.0050e-02     5.2818e-03     0.0024680     
     24         2      7327      1.128e+01      1.130e+01     2.2829e-01     7.1662e-03      2.176e+01     2.1120e-04     6.3820e-05     0.0024680     

     25         0      7812      1.095e+01      1.097e+01     1.5679e-01     3.9976e-02      1.844e+01     2.1640e-02     3.9514e-02     0.0017566     
     25         1      8305      1.095e+01      1.097e+01     1.6267e-01     5.0430e-03      1.844e+01     2.9578e-03     1.2259e-03     0.0017566     
     25         2      8774      1.095e+01      1.096e+01     1.6264e-01     4.8478e-03      1.844e+01     1.3762e-04     3.8928e-05     0.0017566     

     26         0      9261      1.067e+01      1.068e+01     1.0101e-01     4.3155e-02      1.552e+01     1.3877e-02     4.2953e-02     0.0011356     
     26         1      9777      1.066e+01      1.067e+01     1.0585e-01     3.0166e-03      1.552e+01     1.2967e-03     2.5482e-04     0.0011356     

     27         0     10297      1.043e+01      1.043e+01     5.7157e-02     4.2378e-02      1.320e+01     1.0767e-02     4.2291e-02     0.0006459     
     27         1     10859      1.042e+01      1.043e+01     5.9541e-02     1.7398e-03      1.319e+01     1.8131e-03     4.9573e-04     0.0006459     
     27         2     11428      1.042e+01      1.042e+01     5.9981e-02     1.6414e-03      1.319e+01     1.6735e-04     3.0206e-05     0.0006459     

     28         0     12021      1.027e+01      1.027e+01     3.0380e-02     2.6544e-02      1.171e+01     4.4471e-03     2.6509e-02     0.0003362     
     28         1     12654      1.026e+01      1.026e+01     3.0860e-02     8.7905e-04      1.170e+01     6.6555e-04     1.9929e-04     0.0003362     
     28         2     13287      1.026e+01      1.026e+01     3.1185e-02     8.4116e-04      1.170e+01     1.7784e-05     8.5440e-07     0.0003362     

     29         0     13951      1.015e+01      1.015e+01     1.2552e-02     1.6772e-02      1.073e+01     2.1565e-03     1.6761e-02     0.0001343     
     29         1     14632      1.015e+01      1.015e+01     1.2560e-02     4.1754e-04      1.072e+01     4.2739e-04     2.1938e-04     0.0001343     

     30         0     15328      1.010e+01      1.010e+01     5.5293e-03     3.0688e-03      1.037e+01     1.0167e-03     3.0596e-03     0.0000628     
     30         1     16022      1.011e+01      1.011e+01     7.6372e-03     2.5246e-04      1.038e+01     3.4611e-03     1.9722e-04     0.0000628     
     30         2     16688      1.011e+01      1.011e+01     5.9806e-03     1.5802e-04      1.038e+01     5.7510e-04     3.8581e-05     0.0000628     

     31         0     18036      1.010e+01      1.010e+01     4.4740e-03     1.5184e-04      1.031e+01     2.5007e-04     9.3097e-05     0.0000483     
     31         1     18728      1.010e+01      1.010e+01     4.4844e-03     1.1568e-04      1.031e+01     1.8015e-05     2.7622e-06     0.0000483     

     32         0     19456      1.009e+01      1.009e+01     2.8660e-03     1.4773e-04      1.023e+01     3.7524e-04     1.2332e-04     0.0000317     
     32         1     20192      1.009e+01      1.009e+01     2.8955e-03     7.5202e-05      1.023e+01     1.0882e-04     7.3654e-06     0.0000317     

     33         0     20925      1.009e+01      1.009e+01     1.5346e-03     1.4892e-04      1.016e+01     2.8513e-04     1.3994e-04     0.0000173     
     33         1     21678      1.009e+01      1.009e+01     1.6034e-03     4.1587e-05      1.016e+01     2.7047e-05     7.9708e-06     0.0000173     

     34         0     22417      1.008e+01      1.008e+01     8.0231e-04     8.9478e-05      1.012e+01     7.0715e-05     8.5081e-05     0.0000087     
     34         1     23185      1.008e+01      1.008e+01     7.9901e-04     2.1054e-05      1.012e+01     1.2152e-04     4.3272e-06     0.0000087     

     35         0     23933      1.008e+01      1.008e+01     2.8749e-04     4.9612e-05      1.009e+01     2.3447e-04     4.8299e-05     0.0000028     
     35         1     24672      1.008e+01      1.008e+01     2.6164e-04     7.4660e-06      1.009e+01     7.5280e-06     2.8715e-06     0.0000028     

     36         0     25408      1.008e+01      1.008e+01     6.4522e-04     8.9079e-06      1.009e+01     5.7153e-04     7.8768e-06     0.0000013     
     36         1     26150      1.008e+01      1.008e+01     1.3500e-04     3.2432e-06      1.009e+01     1.3989e-04     6.1509e-07     0.0000013     

     37         0     26902      1.008e+01      1.008e+01     4.3101e-04     5.3343e-06      1.008e+01     4.4048e-04     5.2215e-06     0.0000002     
     37         1     27623      1.008e+01      1.008e+01     2.2382e-05     7.0832e-07      1.008e+01     6.5188e-06     4.2037e-07     0.0000002     
