# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        0.12        0.12        264.654      0.000000     0     0
    1        1.34        1.47        264.418      0.000231     0   128
    2        1.46        2.93        263.942      0.002095     0   128
    3        1.46        4.39        262.981      0.011402     0   128
    4        1.48        5.87        261.086      0.048671     0   128
    5        1.36        7.23        259.446      0.093647     0   128
    6        1.66        8.89        257.742      0.141399     0   128
    7        1.54        10.43        254.936      0.201900     0   128
    8        1.56        11.99        249.31      0.257829     0   128
    9        1.40        13.38        240.276      0.283326     0   128
   10        1.40        14.78        229.91      0.291122     0   128
   11        1.42        16.20        218.255      0.293296     0   128
   12        1.47        17.66        205.299      0.292962     0   128
   13        1.51        19.17        190.986      0.290986     0   128
   14        1.54        20.72        175.265      0.287490     0   128
   15        1.38        22.09        158.056      0.282219     0   128
   16        1.37        23.46        139.219      0.274553     0   128
   17        1.45        24.91        118.486      0.263265     0   128
   18        1.69        26.60        95.2641      0.245699     0   128
   19        1.73        28.33        67.926      0.214350     0   128
   20        3.87        32.20        28.7723      0.123584     0   128
   21        4.54        36.74        17.6511      0.067921     0   128
   22        3.38        40.12        13.7627      0.036944     0   128
   23        3.60        43.73        12.2097      0.021409     0   128
   24        5.72        49.45        11.2767      0.011809     0   128
   25        6.16        55.60        10.9514      0.008413     0   128
   26        4.69        60.29        10.6604      0.005444     0   128
   27        7.96        68.25        10.4208      0.003098     0   128
   28        9.12        77.38        10.2598      0.001613     0   128
   29        6.88        84.25        10.1456      0.000726     0   128
   30        13.02        97.28        10.106      0.000302     0   128
   31        6.62        103.89        10.0994      0.000232     0   128
   32        6.98        110.87        10.0924      0.000165     0   128
   33        7.10        117.97        10.0867      0.000096     0     0
   34        6.96        124.93        10.0837      0.000042     0     0
   35        6.87        131.81        10.0819      0.000016     0     0
   36        7.30        139.10        10.0817      0.000006     0     0
   37        4.26        143.36        10.0817      0.000001     0     0
