# Kona Param. Contn. convergence history (opt tol = 2.386485e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0     -----        20      2.647e+02      2.647e+02     2.3865e+00     0.0000e+00     ----------     ----------     ----------     1.0000     

      1         0        36      2.645e+02      2.645e+02     2.3865e+00     6.5217e-02      5.113e+00     8.9110e-04     1.2602e-03     0.9806766     
      1         1        76      2.645e+02      2.645e+02     2.3846e+00     6.6323e-02      5.113e+00     7.0891e-10     1.3357e-11     0.9806766     

      2         0       110      2.643e+02      2.643e+02     2.3776e+00     1.9652e-01      1.500e+01     3.3386e-03     5.0621e-03     0.9432746     
      2         1       153      2.643e+02      2.643e+02     2.3704e+00     1.9799e-01      1.500e+01     3.4528e-08     2.8313e-09     0.9432746     

      3         0       193      2.639e+02      2.639e+02     2.3360e+00     4.4489e-01      3.353e+01     1.5215e-02     1.9462e-02     0.8731063     
      3         1       238      2.639e+02      2.639e+02     2.3191e+00     4.2772e-01      3.353e+01     2.1874e-06     2.7844e-07     0.8731063     

      4         0       280      2.634e+02      2.635e+02     2.2947e+00     6.1908e-01      5.110e+01     2.7169e-02     1.7090e-02     0.8064887     
      4         1       325      2.634e+02      2.635e+02     2.2954e+00     5.7842e-01      5.110e+01     3.3000e-06     1.6963e-06     0.8064887     

      5         0       368      2.630e+02      2.631e+02     2.3352e+00     6.6938e-01      6.619e+01     2.9259e-02     9.3744e-03     0.7492330     
      5         1       427      2.630e+02      2.631e+02     2.3362e+00     6.3523e-01      6.619e+01     3.6453e-07     3.9285e-09     0.7492330     

      6         0       487      2.624e+02      2.626e+02     2.4909e+00     6.6950e-01      8.756e+01     6.8077e-02     1.1152e-02     0.6681732     
      6         1       546      2.623e+02      2.625e+02     2.4732e+00     6.1783e-01      8.759e+01     7.3736e-06     2.1010e-08     0.6681732     

      7         0       606      2.613e+02      2.615e+02     2.7739e+00     5.2925e-01      1.196e+02     1.6441e-01     4.4870e-03     0.5468194     
      7         1       665      2.611e+02      2.613e+02     2.6931e+00     4.8504e-01      1.197e+02     7.1914e-05     1.8922e-07     0.5468194     

      8         0       726      2.589e+02      2.591e+02     2.9668e+00     2.7650e-01      1.627e+02     3.3677e-01     1.9165e-02     0.3832477     
      8         1       778      2.580e+02      2.581e+02     2.8612e+00     2.8672e-01      1.632e+02     3.5256e-04     4.8021e-06     0.3832477     

      9         0       839      2.552e+02      2.553e+02     2.9251e+00     1.7716e-01      1.896e+02     2.1790e-01     8.9832e-03     0.2818421     
      9         1       893      2.542e+02      2.543e+02     2.9066e+00     1.8742e-01      1.903e+02     7.6186e-05     1.1490e-05     0.2818421     

     10         0       954      2.509e+02      2.510e+02     2.9260e+00     1.2982e-01      2.072e+02     1.6147e-01     3.3224e-03     0.2163192     
     10         1      1015      2.499e+02      2.500e+02     2.9212e+00     1.3370e-01      2.080e+02     3.0238e-05     3.2450e-06     0.2163192     

     11         0      1077      2.460e+02      2.461e+02     2.9275e+00     9.8985e-02      2.195e+02     1.3060e-01     1.4513e-03     0.1707636     
     11         1      1131      2.450e+02      2.450e+02     2.9256e+00     1.0066e-01      2.204e+02     3.1887e-05     8.5181e-06     0.1707636     

     12         0      1192      2.404e+02      2.405e+02     2.9263e+00     7.8053e-02      2.284e+02     1.0789e-01     7.1590e-04     0.1379276     
     12         1      1254      2.394e+02      2.394e+02     2.9252e+00     7.8854e-02      2.294e+02     3.4827e-05     4.8348e-06     0.1379276     

     13         0      1326      2.342e+02      2.343e+02     2.9226e+00     6.3235e-02      2.352e+02     9.0921e-02     4.1284e-04     0.1134731     
     13         1      1401      2.331e+02      2.332e+02     2.9217e+00     6.3658e-02      2.363e+02     3.9311e-05     5.5383e-06     0.1134731     

     14         0      1472      2.274e+02      2.274e+02     2.9164e+00     5.2406e-02      2.404e+02     7.7585e-02     3.0241e-04     0.0947910     
     14         1      1563      2.262e+02      2.263e+02     2.9156e+00     5.2649e-02      2.415e+02     4.4150e-05     6.0382e-06     0.0947910     

     15         0      1636      2.198e+02      2.198e+02     2.9078e+00     4.4278e-02      2.446e+02     6.6928e-02     2.9532e-04     0.0801990     
     15         1      1741      2.187e+02      2.187e+02     2.9068e+00     4.4429e-02      2.457e+02     4.8487e-05     7.1936e-06     0.0801990     

     16         0      1830      2.116e+02      2.116e+02     2.8962e+00     3.8045e-02      2.479e+02     5.8263e-02     3.5073e-04     0.0685798     
     16         1      1944      2.104e+02      2.105e+02     2.8951e+00     3.8146e-02      2.490e+02     5.4532e-05     8.9868e-06     0.0685798     

     17         0      2032      2.027e+02      2.027e+02     2.8812e+00     3.3183e-02      2.505e+02     5.1126e-02     4.6214e-04     0.0591664     
     17         1      2160      2.015e+02      2.015e+02     2.8800e+00     3.3255e-02      2.516e+02     6.2323e-05     1.1617e-05     0.0591664     

     18         0      2261      1.931e+02      1.931e+02     2.8622e+00     2.9340e-02      2.525e+02     4.5184e-02     6.3756e-04     0.0514184     
     18         1      2401      1.919e+02      1.919e+02     2.8607e+00     2.9391e-02      2.537e+02     7.5243e-05     1.3332e-05     0.0514184     

     19         0      2502      1.828e+02      1.828e+02     2.8381e+00     2.6274e-02      2.539e+02     4.0198e-02     9.0880e-04     0.0449449     
     19         1      2655      1.816e+02      1.816e+02     2.8363e+00     2.6306e-02      2.551e+02     9.8979e-05     1.7010e-05     0.0449449     

     20         0      2768      1.717e+02      1.717e+02     2.8077e+00     2.3821e-02      2.547e+02     3.5997e-02     1.3318e-03     0.0394562     
     20         1      2922      1.705e+02      1.705e+02     2.8056e+00     2.3822e-02      2.558e+02     1.5005e-04     2.2503e-05     0.0394562     

     21         0      3039      1.599e+02      1.599e+02     2.7692e+00     2.1877e-02      2.547e+02     3.2476e-02     2.0157e-03     0.0347311     
     21         1      3195      1.587e+02      1.587e+02     2.7667e+00     2.1811e-02      2.559e+02     2.6463e-04     3.3986e-05     0.0347311     

     22         0      3312      1.472e+02      1.472e+02     2.7203e+00     2.0420e-02      2.538e+02     2.9607e-02     3.1811e-03     0.0305938     
     22         1      3472      1.460e+02      1.460e+02     2.7173e+00     2.0181e-02      2.549e+02     1.6352e-04     4.9764e-05     0.0305938     

     23         0      3590      1.336e+02      1.336e+02     2.6575e+00     1.9618e-02      2.517e+02     2.7089e-02     5.2827e-03     0.0269118     
     23         1      3735      1.324e+02      1.324e+02     2.6538e+00     1.8860e-02      2.528e+02     1.5389e-04     5.8345e-05     0.0269118     

     24         0      3854      1.189e+02      1.189e+02     2.5748e+00     2.0318e-02      2.478e+02     2.5554e-02     9.5377e-03     0.0235409     
     24         1      4017      1.178e+02      1.178e+02     2.5699e+00     1.7782e-02      2.488e+02     1.9100e-04     8.6422e-05     0.0235409     

     25         0      4174      1.027e+02      1.027e+02     2.4611e+00     2.6275e-02      2.410e+02     2.5800e-02     1.9601e-02     0.0203308     
     25         1      4336      1.017e+02      1.017e+02     2.4545e+00     1.6884e-02      2.418e+02     3.4047e-04     1.3648e-04     0.0203308     

     26         0      4495      8.439e+01      8.440e+01     2.2939e+00     5.3242e-02      2.292e+02     2.9979e-02     4.9719e-02     0.0170881     
     26         1      4660      8.355e+01      8.357e+01     2.2847e+00     1.6068e-02      2.297e+02     3.0821e-04     1.8425e-04     0.0170881     

     27         0      4825      6.138e+01      6.140e+01     2.0009e+00     2.1562e-01      2.051e+02     5.1743e-02     2.1202e-01     0.0132769     
     27         1      5007      6.127e+01      6.128e+01     1.9868e+00     1.5000e-02      2.051e+02     1.6591e-03     1.8215e-04     0.0132769     

     28         0      5189      1.697e+01      1.745e+01     9.8635e-01     1.1895e+01      1.085e+02     3.5788e-01     1.1827e+01     0.0056429     
     28         1      5514      2.421e+01      2.433e+01     1.0252e+00     4.7679e+00      1.101e+02     6.3208e-02     4.7408e+00     0.0056429     
     28         2      5773      2.367e+01      2.372e+01     9.7433e-01     5.3430e-01      1.100e+02     5.6121e-02     5.3082e-01     0.0056429     

     29         0      6408      1.773e+01      1.787e+01     6.4955e-01     1.3800e+00      7.709e+01     6.1008e-02     1.3745e+00     0.0036841     
     29         1      6762      1.814e+01      1.815e+01     6.2956e-01     5.2433e-02      7.721e+01     8.9941e-02     5.1437e-02     0.0036841     
     29         2      7158      1.832e+01      1.834e+01     6.6169e-01     9.5010e-03      7.729e+01     1.3334e-03     6.6300e-03     0.0036841     

     30         0      7564      1.423e+01      1.433e+01     3.5838e-01     1.5476e+00      5.007e+01     1.3806e-01     1.5441e+00     0.0021568     
     30         1      8024      1.462e+01      1.464e+01     3.8957e-01     1.0254e-01      5.027e+01     5.0301e-02     1.0204e-01     0.0021568     
     30         2      8470      1.464e+01      1.465e+01     3.9210e-01     6.2900e-03      5.028e+01     2.0117e-03     4.9355e-03     0.0021568     

     31         0      8913      1.265e+01      1.269e+01     2.0809e-01     8.9004e-01      3.378e+01     8.0328e-02     8.8886e-01     0.0012546     
     31         1      9371      1.274e+01      1.275e+01     2.2846e-01     3.0155e-02      3.383e+01     3.8527e-02     2.9994e-02     0.0012546     
     31         2      9826      1.275e+01      1.276e+01     2.3165e-01     2.8659e-03      3.384e+01     4.3584e-03     1.8971e-03     0.0012546     

     32         0     10282      1.178e+01      1.179e+01     1.3523e-01     4.3235e-01      2.350e+01     4.7895e-02     4.3203e-01     0.0006901     
     32         1     11625      1.163e+01      1.163e+01     1.2235e-01     1.6809e-02      2.336e+01     1.0833e-02     1.6735e-02     0.0006901     
     32         2     12966      1.164e+01      1.164e+01     1.2731e-01     1.1196e-03      2.336e+01     9.6637e-05     1.8016e-04     0.0006901     

     33         0     14336      1.112e+01      1.113e+01     7.3803e-02     2.1541e-01      1.836e+01     2.1993e-02     2.1531e-01     0.0004236     
     33         1     15724      1.113e+01      1.113e+01     7.8683e-02     4.1725e-03      1.836e+01     1.9727e-03     4.0940e-03     0.0004236     

     34         0     17172      1.081e+01      1.082e+01     4.6062e-02     1.1495e-01      1.528e+01     9.0338e-03     1.1491e-01     0.0002606     
     34         1     18633      1.081e+01      1.081e+01     4.9175e-02     1.3372e-03      1.528e+01     1.6971e-03     1.2578e-03     0.0002606     
     34         2     20121      1.081e+01      1.081e+01     4.8273e-02     3.9006e-04      1.528e+01     4.5283e-05     6.0766e-05     0.0002606     

