# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        0.12        0.12        264.654      0.000000     0     0
    1        0.65        0.77        264.418      0.000231     0   128
    2        0.58        1.35        263.942      0.002095     0   128
    3        0.61        1.96        262.981      0.011402     0   128
    4        0.62        2.58        261.086      0.048671     0   128
    5        0.62        3.20        259.446      0.093647     0   128
    6        0.72        3.92        257.742      0.141399     0   128
    7        0.75        4.66        254.936      0.201900     0   128
    8        0.75        5.41        249.31      0.257829     0   128
    9        0.72        6.13        240.276      0.283326     0   128
   10        0.78        6.91        229.91      0.291123     0   128
   11        0.85        7.76        218.255      0.293296     0   128
   12        0.88        8.64        205.299      0.292962     0   128
   13        0.88        9.52        190.986      0.290986     0   128
   14        1.08        10.60        175.265      0.287489     0   128
   15        1.17        11.77        158.056      0.282219     0   128
   16        1.34        13.11        139.22      0.274552     0   128
   17        1.45        14.56        118.483      0.263261     0   128
   18        1.63        16.19        95.2339      0.245666     0   128
   19        1.64        17.83        67.9123      0.214329     0   128
   20        3.28        21.11        23.4614      0.138308     0   128
   21        8.78        29.88        10.4141      0.010327     0   128
   22        7.46        37.35        10.9527      0.008396     0   128
   23        4.95        42.29        10.7145      0.006005     0   128
   24        7.24        49.54        10.4438      0.003319     0   128
   25        8.78        58.32        10.2813      0.001805     0   128
   26        9.84        68.15        10.1561      0.000727     0   128
   27        13.06        81.21        10.1051      0.000292     0   128
   28        6.70        87.91        10.0985      0.000222     0   128
   29        6.95        94.85        10.0914      0.000161     0   128
   30        6.96        101.81        10.0858      0.000078     0     0
   31        7.02        108.83        10.0836      0.000040     0     0
   32        6.95        115.78        10.0819      0.000015     0     0
   33        7.17        122.95        10.0817      0.000006     0     0
   34        3.62        126.57        10.0817      0.000001     0     0
