# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        0.13        0.13        264.654      0.000000     0     0
    1        0.72        0.85        264.418      0.000217     0     0
    2        0.66        1.51        263.942      0.001973     0     0
    3        0.63        2.14        262.981      0.010750     0     0
    4        0.69        2.84        261.086      0.046022     0     0
    5        0.97        3.80        257.724      0.134990     0     0
    6        0.76        4.57        254.023      0.207144     0     0
    7        0.71        5.27        249.396      0.249555     0     0
    8        0.75        6.03        243.284      0.272182     0     0
    9        0.70        6.73        235.673      0.283270     0     0
   10        0.78        7.50        226.783      0.288389     0     0
   11        0.80        8.30        216.766      0.290406     0     0
   12        0.86        9.16        205.655      0.290580     0     0
   13        0.91        10.08        193.387      0.289392     0     0
   14        0.94        11.02        179.869      0.286936     0     0
   15        0.97        11.99         165      0.283062     0     0
   16        1.06        13.05        148.658      0.277384     0     0
   17        1.12        14.16        130.665      0.269178     0     0
   18        1.27        15.43        110.703      0.257067     0     0
   19        1.51        16.94        88.1144      0.238015     0     0
   20        1.67        18.61        61.1376      0.203234     0     0
   21        2.59        21.20        20.2425      0.120055     0     0
   22        3.46        24.66        14.9067      0.042162     0    56
