# Kona Param. Contn. convergence history (opt tol = 1.193243e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0     -----        24      2.647e+02      2.647e+02     1.1932e+00     0.0000e+00     ----------     ----------     ----------     1.0000     

      1         0        43      2.646e+02      2.646e+02     1.1932e+00     5.4195e-02      8.499e+00     1.2307e-03     1.7405e-03     0.9678842     
      1         1        90      2.646e+02      2.646e+02     1.1907e+00     5.5569e-02      8.499e+00     2.7639e-09     1.2096e-10     0.9678842     

      2         0       130      2.645e+02      2.645e+02     1.1872e+00     1.6442e-01      2.486e+01     5.2535e-03     1.2042e-02     0.9060572     
      2         1       182      2.645e+02      2.645e+02     1.1724e+00     1.6280e-01      2.486e+01     1.5909e-07     2.8742e-08     0.9060572     

      3         0       231      2.643e+02      2.643e+02     1.1688e+00     3.4990e-01      5.489e+01     3.6250e-02     5.4417e-02     0.7924430     
      3         1       287      2.643e+02      2.643e+02     1.1498e+00     2.9932e-01      5.490e+01     1.1297e-05     2.5021e-06     0.7924430     

      4         0       341      2.641e+02      2.641e+02     1.2224e+00     3.9300e-01      9.326e+01     1.7001e-01     9.8493e-02     0.6472631     
      4         1       404      2.640e+02      2.641e+02     1.2572e+00     3.0030e-01      9.329e+01     8.1327e-05     8.0969e-06     0.6472631     

      5         0       475      2.636e+02      2.636e+02     1.3289e+00     2.1891e-01      1.405e+02     3.8296e-01     7.9205e-02     0.4686422     
      5         1       539      2.635e+02      2.635e+02     1.3964e+00     1.9284e-01      1.406e+02     2.6660e-04     1.3826e-05     0.4686422     

      6         0       611      2.626e+02      2.627e+02     1.3364e+00     8.0640e-02      1.884e+02     5.4743e-01     3.9868e-02     0.2870430     
      6         1       685      2.621e+02      2.621e+02     1.4542e+00     9.5757e-02      1.888e+02     1.1129e-03     1.3543e-06     0.2870430     

      7         0       759      2.611e+02      2.611e+02     1.3203e+00     5.9878e-02      2.098e+02     6.3610e-01     3.2106e-02     0.2066235     
      7         1       815      2.607e+02      2.608e+02     1.4640e+00     6.2799e-02      2.101e+02     9.1812e-04     2.5348e-05     0.2066235     

      8         0       890      2.594e+02      2.595e+02     1.3202e+00     4.2127e-02      2.244e+02     6.8916e-01     2.3961e-02     0.1515068     
      8         1       964      2.590e+02      2.590e+02     1.4678e+00     4.3316e-02      2.249e+02     1.2130e-03     7.0872e-06     0.1515068     

      9         0      1038      2.574e+02      2.574e+02     1.3199e+00     3.1549e-02      2.339e+02     7.3161e-01     1.8601e-02     0.1161669     
      9         1      1103      2.569e+02      2.569e+02     1.4691e+00     3.1984e-02      2.343e+02     1.2586e-03     5.1020e-05     0.1161669     

     10         0      1175      2.551e+02      2.551e+02     1.3191e+00     2.4339e-02      2.406e+02     7.5997e-01     1.4640e-02     0.0913988     
     10         1      1247      2.546e+02      2.546e+02     1.4694e+00     2.4538e-02      2.411e+02     1.3647e-03     3.2167e-05     0.0913988     

     11         0      1318      2.524e+02      2.524e+02     1.3178e+00     1.9335e-02      2.454e+02     7.8084e-01     1.1742e-02     0.0736282     
     11         1      1411      2.519e+02      2.519e+02     1.4693e+00     1.9432e-02      2.459e+02     1.4234e-03     2.3963e-06     0.0736282     

     12         0      1480      2.495e+02      2.495e+02     1.3161e+00     1.5720e-02      2.491e+02     7.9631e-01     9.5695e-03     0.0604518     
     12         1      1569      2.489e+02      2.489e+02     1.4687e+00     1.5771e-02      2.496e+02     1.4727e-03     3.1952e-06     0.0604518     

     13         0      1654      2.462e+02      2.462e+02     1.3141e+00     1.3031e-02      2.519e+02     8.0810e-01     7.9092e-03     0.0504395     
     13         1      1745      2.456e+02      2.456e+02     1.4679e+00     1.3060e-02      2.525e+02     1.5074e-03     5.2941e-06     0.0504395     

     14         0      1829      2.425e+02      2.425e+02     1.3117e+00     1.0980e-02      2.542e+02     8.1718e-01     6.6163e-03     0.0426653     
     14         1      1919      2.420e+02      2.420e+02     1.4667e+00     1.0998e-02      2.547e+02     1.5318e-03     7.4839e-06     0.0426653     

     15         0      2002      2.386e+02      2.386e+02     1.3090e+00     9.3837e-03      2.560e+02     8.2421e-01     5.5924e-03     0.0365157     
     15         1      2091      2.380e+02      2.380e+02     1.4652e+00     9.3942e-03      2.566e+02     1.5472e-03     1.0529e-05     0.0365157     

     16         0      2190      2.343e+02      2.343e+02     1.3058e+00     8.1182e-03      2.575e+02     8.2963e-01     4.7694e-03     0.0315714     
     16         1      2278      2.337e+02      2.337e+02     1.4633e+00     8.1243e-03      2.581e+02     1.5554e-03     1.7509e-05     0.0315714     

     17         0      2390      2.297e+02      2.297e+02     1.3022e+00     7.1003e-03      2.588e+02     8.3375e-01     4.0993e-03     0.0275386     
     17         1      2478      2.291e+02      2.291e+02     1.4610e+00     7.1030e-03      2.594e+02     1.5573e-03     2.4974e-05     0.0275386     

     18         0      2589      2.248e+02      2.248e+02     1.2981e+00     6.2711e-03      2.599e+02     8.3677e-01     3.5480e-03     0.0242069     
     18         1      2677      2.242e+02      2.242e+02     1.4582e+00     6.2707e-03      2.605e+02     1.5541e-03     3.5669e-05     0.0242069     

     19         0      2789      2.195e+02      2.195e+02     1.2934e+00     5.5889e-03      2.608e+02     8.3881e-01     3.0908e-03     0.0214224     
     19         1      2914      2.189e+02      2.189e+02     1.4549e+00     5.5846e-03      2.615e+02     1.5441e-03     4.8305e-06     0.0214224     

     20         0      3026      2.139e+02      2.139e+02     1.2881e+00     5.0249e-03      2.616e+02     8.3997e-01     2.7126e-03     0.0190707     
     20         1      3147      2.133e+02      2.133e+02     1.4508e+00     5.0134e-03      2.622e+02     1.5308e-03     6.3438e-06     0.0190707     

     21         0      3259      2.079e+02      2.079e+02     1.2821e+00     4.5560e-03      2.622e+02     8.4030e-01     2.4001e-03     0.0170653     
     21         1      3381      2.073e+02      2.073e+02     1.4461e+00     4.5340e-03      2.629e+02     1.5142e-03     1.0912e-05     0.0170653     

     22         0      3493      2.016e+02      2.016e+02     1.2753e+00     4.1686e-03      2.628e+02     8.3982e-01     2.1501e-03     0.0153398     
     22         1      3616      2.010e+02      2.010e+02     1.4404e+00     4.1287e-03      2.634e+02     1.4939e-03     2.4238e-05     0.0153398     

     23         0      3728      1.949e+02      1.949e+02     1.2677e+00     3.8552e-03      2.631e+02     8.3852e-01     1.9665e-03     0.0138425     
     23         1      3893      1.943e+02      1.943e+02     1.4337e+00     3.7838e-03      2.638e+02     1.4756e-03     1.1474e-05     0.0138425     

     24         0      4023      1.879e+02      1.879e+02     1.2589e+00     3.6158e-03      2.633e+02     8.3636e-01     1.8631e-03     0.0125326     
     24         1      4204      1.873e+02      1.873e+02     1.4258e+00     3.4890e-03      2.639e+02     1.4479e-03     3.8242e-05     0.0125326     

     25         0      4327      1.805e+02      1.805e+02     1.2490e+00     3.4630e-03      2.633e+02     8.3328e-01     1.8710e-03     0.0113771     
     25         1      4469      1.799e+02      1.799e+02     1.4167e+00     3.2360e-03      2.640e+02     1.4346e-03     1.1029e-05     0.0113771     

     26         0      4597      1.728e+02      1.728e+02     1.2377e+00     3.4145e-03      2.631e+02     8.2922e-01     2.0110e-03     0.0103592     
     26         1      4761      1.722e+02      1.722e+02     1.4059e+00     3.0197e-03      2.637e+02     1.3612e-03     1.2860e-05     0.0103592     

     27         0      4891      1.646e+02      1.646e+02     1.2248e+00     3.5534e-03      2.626e+02     8.2414e-01     2.3891e-03     0.0094410     
     27         1      5036      1.640e+02      1.640e+02     1.3932e+00     2.8320e-03      2.632e+02     1.3559e-03     1.6042e-05     0.0094410     

     28         0      5165      1.561e+02      1.561e+02     1.2099e+00     3.9294e-03      2.617e+02     8.1771e-01     3.0082e-03     0.0086167     
     28         1      5330      1.555e+02      1.555e+02     1.3781e+00     2.6704e-03      2.623e+02     1.2881e-03     2.1130e-05     0.0086167     

     29         0      5478      1.471e+02      1.471e+02     1.1926e+00     4.7601e-03      2.604e+02     8.0991e-01     4.0767e-03     0.0078624     
     29         1      5641      1.465e+02      1.465e+02     1.3602e+00     2.5304e-03      2.610e+02     1.2510e-03     4.4440e-05     0.0078624     

     30         0      5788      1.376e+02      1.376e+02     1.1722e+00     6.2610e-03      2.585e+02     8.0029e-01     5.7699e-03     0.0071678     
     30         1      5971      1.370e+02      1.370e+02     1.3387e+00     2.4087e-03      2.591e+02     1.2007e-03     3.1448e-05     0.0071678     

