# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        2.36        2.36        264.654      0.000000     0     0
    1        23.45        25.81        263.533      0.016495     0     0
    2        18.41        44.22        263.002      0.017720     0     0
    3        18.10        62.32        261.672      0.018439     0     0
    4        20.09        82.41        260.147      0.018619     0     0
    5        19.47        101.88        258.289      0.018686     0     0
    6        18.84        120.72        256.14      0.018713     0     0
    7        21.74        142.47        253.675      0.018722     0     0
    8        24.99        167.46        250.895      0.018723     0     0
    9        26.53        193.99        247.795      0.018717     0     0
   10        25.17        219.16        244.373      0.018706     0     0
   11        23.68        242.84        240.626      0.018691     0     0
   12        24.54        267.37        236.552      0.018671     0     0
   13        26.65        294.02        232.149      0.018645     0     0
   14        26.71        320.73        227.415      0.018614     0     0
   15        27.02        347.75        222.348      0.018577     0     0
   16        31.40        379.15        216.944      0.018531     0     0
   17        29.49        408.64        211.2      0.018477     0     0
   18        30.21        438.85        205.112      0.018412     0     0
   19        35.46        474.31        198.676      0.018337     0     0
   20        39.13        513.44        191.885      0.018247     0     0
   21        40.63        554.07        184.729      0.018141     0     0
   22        33.04        587.11        177.186      0.018016     0     0
   23        38.32        625.43        169.339      0.017872     0     0
   24        32.76        658.19        161.02      0.017699     0     0
   25        37.10        695.29        152.344      0.017496     0     0
   26        37.97        733.26        143.169      0.017253     0     0
   27        41.88        775.14        133.494      0.016960     0     0
   28        47.45        822.59        123.24      0.016604     0     0
   29        63.05        885.64        112.267      0.016162     0     0
   30        68.26        953.90        100.493      0.015594     0     0
   31        81.76        1035.65        87.3247      0.014825     0     0
   32        87.51        1123.17        72.029      0.013686     0     0
   33        102.01        1225.17        49.6158      0.011298     0     0
   34        100.46        1325.64        29.8214      0.008093     0     0
   35        153.24        1478.88        19.2644      0.004950     0     0
   36        155.39        1634.27        19.1392      0.005105     0     0
   37        153.62        1787.89        18.8546      0.008205     0     0
   38        155.75        1943.64        18.6299      0.007814     0     0
   39        154.47        2098.11        18.4162      0.008791     0     0
   40        154.11        2252.22        18.2074      0.008966     0     0
   41        155.20        2407.42        17.9751      0.012223     0     0
   42        154.70        2562.12        17.8664      0.011334     0     0
   43        159.78        2721.90        17.5997      0.012137     0     0
   44        156.11        2878.01        17.5485      0.009418     0     0
   45        152.11        3030.12        17.4697      0.009533     0     0
   46        155.09        3185.21        17.369      0.009959     0     0
   47        153.13        3338.34        17.3233      0.008924     0     0
   48        153.06        3491.40        17.2349      0.009476     0     0
   49        165.83        3657.24        17.1706      0.009241     0     0
   50        160.02        3817.25        17.1088      0.009055     0     0
   51        157.46        3974.72        17.0268      0.009292     0     0
   52        153.82        4128.53        16.9533      0.008772     0     0
   53        152.78        4281.31        16.9141      0.007784     0     0
   54        151.97        4433.29        16.8382      0.008102     0     0
   55        152.82        4586.10        16.7904      0.007714     0     0
   56        152.70        4738.81        16.7351      0.007749     0     0
   57        156.10        4894.91        16.6726      0.007990     0     0
   58        162.13        5057.04        16.6201      0.007900     0     0
   59        166.04        5223.07        16.5654      0.007807     0     0
   60        161.85        5384.92        16.5022      0.007997     0     0
   61        156.14        5541.06        16.4553      0.007647     0     0
   62        153.41        5694.47        16.3743      0.008161     0     0
   63        152.74        5847.22        16.3007      0.008110     0     0
   64        152.85        6000.06        16.2566      0.007747     0     0
   65        155.90        6155.96        16.1731      0.008045     0     0
   66        153.79        6309.75        16.1103      0.008398     0     0
   67        153.84        6463.59        16.0836      0.007543     0     0
   68        152.85        6616.44        16.0529      0.007028     0     0
   69        153.84        6770.28          16      0.007094     0     0
   70        153.46        6923.74        15.9151      0.007746     0     0
   71        153.63        7077.37        15.8432      0.007681     0     0
   72        155.07        7232.44        15.7901      0.007438     0     0
   73        159.26        7391.69        15.7404      0.007357     0     0
   74        156.26        7547.95        15.7276      0.006600     0     0
   75        159.79        7707.74        15.6605      0.007357     0     0
   76        161.54        7869.28        15.6416      0.006252     0     0
   77        154.98        8024.27        15.576      0.007479     0     0
   78        158.26        8182.52        15.5277      0.007456     0     0
   79        162.57        8345.09        15.5133      0.006578     0     0
   80        167.68        8512.77        15.4886      0.006516     0     0
   81        171.46        8684.23        15.4225      0.007236     0     0
   82        156.30        8840.53        15.4096      0.006638     0     0
   83        161.92        9002.46        15.358      0.006775     0     0
   84        161.43        9163.89        15.3142      0.007183     0     0
   85        166.56        9330.45        15.3028      0.006414     0     0
   86        166.68        9497.13        15.2861      0.006103     0     0
   87        169.20        9666.33        15.2512      0.006407     0     0
   88        156.76        9823.09        15.208      0.006597     0     0
   89        156.50        9979.59        15.1532      0.006527     0     0
   90        155.29        10134.88        15.1294      0.006495     0     0
   91        154.81        10289.69        15.0776      0.006958     0     0
   92        155.41        10445.09        15.0623      0.005981     0     0
   93        154.00        10599.09        15.0229      0.006142     0     0
   94        154.17        10753.26        15.013      0.005921     0     0
   95        154.11        10907.37        14.9969      0.005848     0     0
   96        155.45        11062.82        14.9422      0.006569     0     0
   97        155.00        11217.82        14.9252      0.005882     0     0
   98        155.75        11373.57        14.9143      0.005481     0     0
   99        154.45        11528.02        14.8858      0.005881     0     0
  100        155.78        11683.80        14.8456      0.006303     0     0
  101        155.54        11839.33        14.8289      0.005825     0     0
  102        155.69        11995.03        14.789      0.006218     0     0
  103        156.87        12151.89        14.779      0.005773     0     0
  104        159.92        12311.81        14.7595      0.005644     0     0
  105        171.27        12483.09        14.7609      0.005050     0     0
  106        162.85        12645.94        14.719      0.005857     0     0
  107        161.65        12807.58        14.7025      0.005458     0     0
  108        158.54        12966.12        14.6535      0.005790     0     0
