# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
    0        0.47        0.47        264.654      0.000000     0     0
    1        2.69        3.16        264.542      0.000196     0     0
    2        2.43        5.59        264.314      0.001787     0     0
    3        2.46        8.05        263.857      0.009351     0     0
    4        2.54        10.59        263.4      0.020944     0     0
    5        2.74        13.34        262.988      0.032191     0     0
    6        2.74        16.08        262.34      0.046679     0     0
    7        2.75        18.83        261.058      0.061502     0     0
    8        2.95        21.78        258.589      0.069987     0     0
    9        2.75        24.53        255.081      0.072908     0     0
   10        2.86        27.39        251.094      0.073884     0     0
   11        2.89        30.28        246.526      0.074272     0     0
   12        3.22        33.50        241.362      0.074412     0     0
   13        3.51        37.01        235.586      0.074418     0     0
   14        3.50        40.50        229.187      0.074335     0     0
   15        3.51        44.02        222.154      0.074175     0     0
   16        3.76        47.78        214.476      0.073939     0     0
   17        3.77        51.55        206.143      0.073622     0     0
   18        4.00        55.55        197.141      0.073209     0     0
   19        4.00        59.55        187.455      0.072682     0     0
   20        4.52        64.07        177.061      0.072017     0     0
   21        5.01        69.08        165.929      0.071178     0     0
   22        5.15        74.23        154.013      0.070118     0     0
   23        5.01        79.25        141.223      0.068764     0     0
   24        5.02        84.27        127.536      0.067019     0     0
   25        6.17        90.44        112.686      0.064693     0     0
   26        6.20        96.64        96.2552      0.061441     0     0
   27        6.48        103.12        77.4445      0.056497     0     0
   28        6.60        109.72        53.1551      0.047015     0     0
   29        10.09        119.81        17.9407      0.032826     0     0
    0        3.88        123.69        18.3162      0.024568     0   436
    1        3.75        127.43        17.9292      0.019699     0   215
    2        3.76        131.20        17.9815      0.021029     0   458
    3        3.71        134.91        17.8998      0.018862     0   365
    4        3.74        138.65        17.8768      0.018519     0   460
    5        3.68        142.33        17.7115      0.017500     0   435
    6        3.73        146.07        17.5585      0.017061     0   458
    7        3.75        149.82        17.4034      0.017180     0   443
    8        3.71        153.53        17.2575      0.017451     0   462
    9        3.73        157.26        17.134      0.017604     0   445
   10        3.75        161.01        17.0056      0.017901     0   462
   11        3.74        164.75        16.9044      0.018075     0   451
   12        3.73        168.48        16.7793      0.018387     0   464
   13        3.72        172.19        16.7031      0.018581     0   452
   14        3.69        175.88        16.5778      0.018933     0   471
   15        3.71        179.59        16.5238      0.019115     0   454
   16        3.69        183.28        16.3945      0.019529     0   475
   17        3.69        186.97        16.3634      0.019648     0   448
   18        3.69        190.65        16.2209      0.020191     0   478
   19        3.72        194.37        16.2137      0.020169     0   452
   30        0.36        194.73        16.2137      0.020169     0   452
